Index: 1742 | Bright Bodies: 21

Size: 32 | Area: 2307909.2 | Centroid: (39.816097 , 31.758612)
Size: 26 | Area: 1588187.1 | Centroid: (14.146152 , 42.615593)
Size: 15 | Area: 559422.0 | Centroid: (0.2954396 , 8.141173)
Size: 11 | Area: 189364.69 | Centroid: (9.0967045 , 37.0341)
Size: 8 | Area: 135057.1 | Centroid: (15.31827 , 48.886246)
Size: 6 | Area: 66767.125 | Centroid: (22.717821 , 13.514418)
Size: 6 | Area: 58809.844 | Centroid: (27.940628 , 25.61911)
Size: 6 | Area: 49414.64 | Centroid: (11.850932 , 16.624989)
Size: 4 | Area: 37931.062 | Centroid: (2.5011978 , 35.59567)
Size: 4 | Area: 31311.2 | Centroid: (41.28204 , 38.73627)
Size: 4 | Area: 25540.293 | Centroid: (26.347725 , 35.495037)
Size: 2 | Area: 12266.074 | Centroid: (44.285492 , 22.0)
Size: 3 | Area: 11794.409 | Centroid: (20.682983 , 45.758244)
Size: 2 | Area: 9108.549 | Centroid: (30.681692 , 28.999998)
Size: 2 | Area: 7199.8584 | Centroid: (42.461597 , 9.0)
Size: 1 | Area: 5450.854 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3209.643 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3046.1604 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 3003.1326 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2998.4014 | Centroid: (30.0 , 13.0)
Size: 1 | Area: 2980.284 | Centroid: (6.0 , 48.999996)
