Index: 1690 | Bright Bodies: 20

Size: 34 | Area: 2313295.0 | Centroid: (39.884995 , 31.712645)
Size: 26 | Area: 1588194.9 | Centroid: (14.203149 , 42.563644)
Size: 15 | Area: 601683.3 | Centroid: (0.30003935 , 8.0983515)
Size: 13 | Area: 194607.52 | Centroid: (9.185769 , 36.9582)
Size: 8 | Area: 153313.97 | Centroid: (15.320077 , 48.8908)
Size: 6 | Area: 66504.8 | Centroid: (22.782768 , 13.476658)
Size: 6 | Area: 58664.258 | Centroid: (27.99515 , 25.582628)
Size: 6 | Area: 49321.848 | Centroid: (11.91142 , 16.590485)
Size: 4 | Area: 37472.74 | Centroid: (2.553408 , 35.55417)
Size: 4 | Area: 31534.725 | Centroid: (41.30821 , 38.707993)
Size: 4 | Area: 25289.748 | Centroid: (26.377499 , 35.45714)
Size: 2 | Area: 12030.01 | Centroid: (44.322575 , 21.999998)
Size: 3 | Area: 11569.734 | Centroid: (20.731312 , 45.728065)
Size: 2 | Area: 7267.075 | Centroid: (42.51546 , 9.0)
Size: 1 | Area: 6471.2793 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5413.9736 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3317.3767 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3238.042 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2911.509 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2892.3643 | Centroid: (30.0 , 13.0)
