Index: 9 | Bright Bodies: 22

Size: 31 | Area: 2292148.5 | Centroid: (40.35181 , 31.411896)
Size: 25 | Area: 1584907.8 | Centroid: (14.588664 , 42.307205)
Size: 17 | Area: 932081.0 | Centroid: (0.38552815 , 8.009171)
Size: 7 | Area: 206160.33 | Centroid: (15.545559 , 48.901905)
Size: 13 | Area: 190531.55 | Centroid: (9.645962 , 36.715183)
Size: 6 | Area: 65585.664 | Centroid: (23.289452 , 13.122353)
Size: 4 | Area: 52561.418 | Centroid: (28.352278 , 25.370817)
Size: 4 | Area: 44344.332 | Centroid: (12.307527 , 16.378916)
Size: 4 | Area: 36194.0 | Centroid: (3.2389028 , 35.326782)
Size: 5 | Area: 34023.176 | Centroid: (41.435707 , 38.44817)
Size: 3 | Area: 19571.531 | Centroid: (26.8148 , 35.1787)
Size: 2 | Area: 10670.896 | Centroid: (45.0 , 21.58048)
Size: 2 | Area: 9533.124 | Centroid: (6.3323913 , 49.0)
Size: 2 | Area: 8663.3125 | Centroid: (21.0 , 45.42485)
Size: 2 | Area: 8204.359 | Centroid: (31.0 , 28.63398)
Size: 2 | Area: 7606.2026 | Centroid: (0.0 , 14.47455)
Size: 1 | Area: 5336.4453 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3543.7693 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3202.2803 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 2992.6736 | Centroid: (14.0 , 0.0)
Size: 1 | Area: 2958.2546 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2772.114 | Centroid: (44.0 , 49.000004)
