Index: 208 | Bright Bodies: 22

Size: 29 | Area: 2288514.5 | Centroid: (40.400112 , 31.256433)
Size: 28 | Area: 1584842.8 | Centroid: (14.657397 , 42.153893)
Size: 17 | Area: 948137.56 | Centroid: (0.41639286 , 7.7147574)
Size: 9 | Area: 280750.1 | Centroid: (15.486764 , 48.85558)
Size: 14 | Area: 191651.8 | Centroid: (9.669656 , 36.48887)
Size: 6 | Area: 64420.555 | Centroid: (23.320574 , 12.940343)
Size: 6 | Area: 56310.22 | Centroid: (28.418404 , 25.052206)
Size: 6 | Area: 47916.906 | Centroid: (12.367432 , 16.060976)
Size: 5 | Area: 37302.918 | Centroid: (3.244183 , 35.0832)
Size: 5 | Area: 32285.324 | Centroid: (41.467155 , 38.28494)
Size: 3 | Area: 19115.547 | Centroid: (26.820831 , 34.809372)
Size: 2 | Area: 13384.952 | Centroid: (6.346522 , 48.999996)
Size: 2 | Area: 10589.844 | Centroid: (45.000004 , 21.363201)
Size: 2 | Area: 8727.859 | Centroid: (21.348047 , 45.0)
Size: 2 | Area: 8192.081 | Centroid: (0.0 , 14.442818)
Size: 2 | Area: 7449.589 | Centroid: (31.0 , 28.454166)
Size: 2 | Area: 6826.6123 | Centroid: (42.999996 , 8.57333)
Size: 2 | Area: 5769.477 | Centroid: (48.48914 , 42.0)
Size: 1 | Area: 4963.2495 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 3573.328 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 2975.1804 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2852.706 | Centroid: (44.0 , 49.0)
