Index: 1822 | Bright Bodies: 20

Size: 29 | Area: 2297476.0 | Centroid: (39.654327 , 31.804094)
Size: 28 | Area: 1598059.5 | Centroid: (13.972092 , 42.72414)
Size: 15 | Area: 466406.0 | Centroid: (0.28151202 , 8.210506)
Size: 10 | Area: 187033.3 | Centroid: (8.939349 , 37.186527)
Size: 7 | Area: 89245.84 | Centroid: (15.327645 , 48.886356)
Size: 6 | Area: 67512.55 | Centroid: (22.541742 , 13.644123)
Size: 7 | Area: 61314.37 | Centroid: (27.7871 , 25.750874)
Size: 6 | Area: 49692.617 | Centroid: (11.647951 , 16.748585)
Size: 7 | Area: 39119.543 | Centroid: (40.774105 , 38.755474)
Size: 4 | Area: 38472.5 | Centroid: (2.3900456 , 35.674778)
Size: 4 | Area: 25400.885 | Centroid: (26.287903 , 35.584496)
Size: 2 | Area: 9713.697 | Centroid: (20.450378 , 46.0)
Size: 1 | Area: 9311.171 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8959.383 | Centroid: (30.5317 , 29.0)
Size: 1 | Area: 4781.4287 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4318.5957 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3785.1663 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2951.4512 | Centroid: (14.999999 , 25.0)
Size: 1 | Area: 2835.661 | Centroid: (30.0 , 12.999999)
Size: 1 | Area: 2793.0986 | Centroid: (18.0 , 19.0)
