Index: 494 | Bright Bodies: 21

Size: 31 | Area: 2298926.5 | Centroid: (40.223804 , 31.349285)
Size: 27 | Area: 1587621.8 | Centroid: (14.486744 , 42.24523)
Size: 19 | Area: 850908.9 | Centroid: (0.3649101 , 7.9017134)
Size: 8 | Area: 243714.98 | Centroid: (15.335069 , 48.88617)
Size: 15 | Area: 194746.66 | Centroid: (9.493454 , 36.611057)
Size: 7 | Area: 66409.48 | Centroid: (23.17509 , 13.042174)
Size: 5 | Area: 53671.688 | Centroid: (28.285154 , 25.22277)
Size: 5 | Area: 44919.004 | Centroid: (12.250927 , 16.229155)
Size: 6 | Area: 39064.477 | Centroid: (3.0906825 , 35.15929)
Size: 5 | Area: 33462.914 | Centroid: (41.372654 , 38.36989)
Size: 2 | Area: 16614.521 | Centroid: (26.641205 , 35.0)
Size: 3 | Area: 12558.518 | Centroid: (44.73761 , 21.584574)
Size: 2 | Area: 11254.415 | Centroid: (6.2701926 , 48.999996)
Size: 2 | Area: 8558.209 | Centroid: (20.999998 , 45.339127)
Size: 2 | Area: 8468.881 | Centroid: (31.0 , 28.52556)
Size: 2 | Area: 6206.8174 | Centroid: (0.0 , 14.503262)
Size: 2 | Area: 6146.5186 | Centroid: (48.000004 , 42.470173)
Size: 1 | Area: 4364.5195 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3714.236 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 3261.0674 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3106.7642 | Centroid: (42.0 , 19.0)
