Index: 1555 | Bright Bodies: 19

Size: 29 | Area: 2295092.2 | Centroid: (39.624435 , 31.79777)
Size: 28 | Area: 1597836.6 | Centroid: (13.935014 , 42.731438)
Size: 15 | Area: 448168.84 | Centroid: (0.27645108 , 8.218967)
Size: 10 | Area: 186361.52 | Centroid: (8.920928 , 37.188152)
Size: 7 | Area: 87959.414 | Centroid: (15.2962265 , 48.887985)
Size: 6 | Area: 67511.07 | Centroid: (22.516567 , 13.645798)
Size: 6 | Area: 58406.977 | Centroid: (27.698084 , 25.741133)
Size: 6 | Area: 49487.69 | Centroid: (11.618644 , 16.750507)
Size: 7 | Area: 38629.67 | Centroid: (40.761265 , 38.756886)
Size: 4 | Area: 38370.137 | Centroid: (2.3711104 , 35.67344)
Size: 4 | Area: 25137.78 | Centroid: (26.2747 , 35.58362)
Size: 2 | Area: 9590.384 | Centroid: (20.426464 , 46.0)
Size: 1 | Area: 9362.026 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 9002.484 | Centroid: (30.501844 , 29.0)
Size: 1 | Area: 4508.98 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4365.4727 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3732.2468 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2782.002 | Centroid: (15.000001 , 25.0)
Size: 1 | Area: 2753.9395 | Centroid: (18.0 , 19.0)
