Index: 19 | Bright Bodies: 21

Size: 30 | Area: 2288504.8 | Centroid: (40.293354 , 31.451456)
Size: 26 | Area: 1587667.1 | Centroid: (14.536235 , 42.342564)
Size: 18 | Area: 898707.5 | Centroid: (0.37160757 , 8.051343)
Size: 8 | Area: 202680.16 | Centroid: (15.455943 , 48.89513)
Size: 14 | Area: 192944.98 | Centroid: (9.56574 , 36.744118)
Size: 6 | Area: 64630.117 | Centroid: (23.268677 , 13.154806)
Size: 4 | Area: 52848.125 | Centroid: (28.322834 , 25.39613)
Size: 4 | Area: 44337.895 | Centroid: (12.283842 , 16.403816)
Size: 4 | Area: 35535.0 | Centroid: (3.224081 , 35.350445)
Size: 5 | Area: 34040.406 | Centroid: (41.40105 , 38.474705)
Size: 3 | Area: 19715.055 | Centroid: (26.773104 , 35.190815)
Size: 3 | Area: 13197.131 | Centroid: (44.75719 , 21.696253)
Size: 2 | Area: 8928.039 | Centroid: (6.32518 , 49.0)
Size: 2 | Area: 8839.471 | Centroid: (20.999998 , 45.45462)
Size: 2 | Area: 8474.43 | Centroid: (31.000002 , 28.655354)
Size: 2 | Area: 6848.6226 | Centroid: (0.0 , 14.470856)
Size: 1 | Area: 5319.402 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3519.673 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3250.5396 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 2942.8013 | Centroid: (30.0 , 12.000001)
Size: 1 | Area: 2930.194 | Centroid: (14.000001 , 0.0)
