Index: 1457 | Bright Bodies: 20

Size: 33 | Area: 2310829.8 | Centroid: (39.87019 , 31.714489)
Size: 26 | Area: 1588377.4 | Centroid: (14.1906595 , 42.56257)
Size: 15 | Area: 591473.0 | Centroid: (0.29713044 , 8.101378)
Size: 13 | Area: 193975.97 | Centroid: (9.172312 , 36.957108)
Size: 8 | Area: 152937.25 | Centroid: (15.307889 , 48.89229)
Size: 6 | Area: 66319.82 | Centroid: (22.7686 , 13.472826)
Size: 6 | Area: 58524.02 | Centroid: (27.984606 , 25.578995)
Size: 6 | Area: 49267.89 | Centroid: (11.898639 , 16.587261)
Size: 4 | Area: 37508.21 | Centroid: (2.5431476 , 35.549957)
Size: 4 | Area: 31466.482 | Centroid: (41.301792 , 38.706867)
Size: 4 | Area: 25215.008 | Centroid: (26.369497 , 35.452312)
Size: 2 | Area: 12031.329 | Centroid: (44.312847 , 22.0)
Size: 3 | Area: 11534.358 | Centroid: (20.722483 , 45.725903)
Size: 2 | Area: 7241.2256 | Centroid: (42.505737 , 9.0)
Size: 1 | Area: 6321.94 | Centroid: (31.0 , 29.000002)
Size: 1 | Area: 5369.9595 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3303.8022 | Centroid: (5.9999995 , 49.0)
Size: 1 | Area: 3251.8445 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2868.1426 | Centroid: (15.000001 , 25.0)
Size: 1 | Area: 2810.863 | Centroid: (30.0 , 13.0)
