Index: 697 | Bright Bodies: 20

Size: 29 | Area: 2289169.8 | Centroid: (39.67346 , 31.74592)
Size: 28 | Area: 1589938.1 | Centroid: (13.98242 , 42.596806)
Size: 15 | Area: 475622.8 | Centroid: (0.2740772 , 8.150938)
Size: 13 | Area: 192753.95 | Centroid: (8.989197 , 37.036556)
Size: 8 | Area: 114061.44 | Centroid: (15.18377 , 48.876545)
Size: 5 | Area: 63651.566 | Centroid: (22.532001 , 13.474545)
Size: 6 | Area: 57742.65 | Centroid: (27.796316 , 25.594095)
Size: 5 | Area: 46340.62 | Centroid: (11.646341 , 16.582708)
Size: 4 | Area: 37972.09 | Centroid: (2.412099 , 35.561874)
Size: 4 | Area: 30038.25 | Centroid: (41.238342 , 38.71392)
Size: 4 | Area: 24727.375 | Centroid: (26.29158 , 35.468895)
Size: 2 | Area: 11608.797 | Centroid: (44.22896 , 22.0)
Size: 3 | Area: 11160.588 | Centroid: (20.60534 , 45.75361)
Size: 2 | Area: 8795.885 | Centroid: (30.561668 , 29.0)
Size: 2 | Area: 6995.9536 | Centroid: (42.372425 , 9.0)
Size: 2 | Area: 5991.912 | Centroid: (39.0 , 38.437252)
Size: 2 | Area: 5538.72 | Centroid: (41.0 , 19.516872)
Size: 1 | Area: 4529.28 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 2819.7363 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 2772.0317 | Centroid: (18.0 , 19.0)
