Index: 28 | Bright Bodies: 20

Size: 32 | Area: 2295706.0 | Centroid: (40.147438 , 31.541273)
Size: 27 | Area: 1582397.6 | Centroid: (14.423869 , 42.443714)
Size: 17 | Area: 798393.3 | Centroid: (0.33245385 , 8.098745)
Size: 13 | Area: 190346.44 | Centroid: (9.416582 , 36.845844)
Size: 8 | Area: 188326.08 | Centroid: (15.339775 , 48.902626)
Size: 8 | Area: 69155.164 | Centroid: (23.078896 , 13.247685)
Size: 4 | Area: 52596.64 | Centroid: (28.26496 , 25.453465)
Size: 4 | Area: 43254.17 | Centroid: (12.237338 , 16.460318)
Size: 6 | Area: 40202.633 | Centroid: (2.976565 , 35.418297)
Size: 5 | Area: 33878.406 | Centroid: (41.325455 , 38.536057)
Size: 4 | Area: 23009.852 | Centroid: (26.579666 , 35.330437)
Size: 3 | Area: 13120.832 | Centroid: (44.639774 , 21.7713)
Size: 2 | Area: 8912.412 | Centroid: (20.999998 , 45.515472)
Size: 1 | Area: 6194.121 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5063.0825 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 5014.748 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 4220.146 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 2900.9062 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 2820.5642 | Centroid: (30.000002 , 12.0)
Size: 1 | Area: 2662.1711 | Centroid: (13.999999 , 0.0)
