Index: 816 | Bright Bodies: 20

Size: 35 | Area: 2310945.0 | Centroid: (39.94798 , 31.60907)
Size: 27 | Area: 1585946.0 | Centroid: (14.259629 , 42.447784)
Size: 16 | Area: 649810.2 | Centroid: (0.30127326 , 8.037729)
Size: 14 | Area: 195176.83 | Centroid: (9.226387 , 36.83102)
Size: 8 | Area: 188320.05 | Centroid: (15.263448 , 48.88836)
Size: 8 | Area: 70364.78 | Centroid: (22.90601 , 13.261737)
Size: 6 | Area: 56831.723 | Centroid: (28.049353 , 25.47932)
Size: 6 | Area: 48082.06 | Centroid: (11.971398 , 16.48784)
Size: 4 | Area: 35939.504 | Centroid: (2.6167696 , 35.439083)
Size: 4 | Area: 31098.848 | Centroid: (41.340805 , 38.60597)
Size: 4 | Area: 23996.201 | Centroid: (26.4155 , 35.36359)
Size: 3 | Area: 13595.546 | Centroid: (44.294353 , 21.777891)
Size: 2 | Area: 8503.568 | Centroid: (20.999998 , 45.521534)
Size: 2 | Area: 6920.3174 | Centroid: (42.583397 , 9.0)
Size: 1 | Area: 5962.547 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4802.522 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 4586.784 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3179.654 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2813.618 | Centroid: (41.0 , 19.0)
Size: 1 | Area: 2801.5056 | Centroid: (30.000002 , 12.0)
