Index: 2119 | Bright Bodies: 19

Size: 28 | Area: 2289552.8 | Centroid: (39.558018 , 31.863394)
Size: 27 | Area: 1602111.0 | Centroid: (13.837335 , 42.85138)
Size: 15 | Area: 413094.44 | Centroid: (0.25923732 , 8.324463)
Size: 12 | Area: 193561.1 | Centroid: (8.8487015 , 37.30866)
Size: 7 | Area: 72748.0 | Centroid: (15.315624 , 48.87722)
Size: 6 | Area: 68524.91 | Centroid: (22.479742 , 13.7287)
Size: 6 | Area: 59442.375 | Centroid: (27.636473 , 25.81038)
Size: 6 | Area: 50305.035 | Centroid: (11.569227 , 16.815256)
Size: 5 | Area: 41461.234 | Centroid: (2.3793352 , 35.823353)
Size: 7 | Area: 39863.527 | Centroid: (40.849705 , 39.087353)
Size: 4 | Area: 25246.93 | Centroid: (26.257492 , 35.655952)
Size: 2 | Area: 12012.754 | Centroid: (44.0 , 22.245193)
Size: 2 | Area: 10226.303 | Centroid: (20.38179 , 45.999996)
Size: 2 | Area: 8810.463 | Centroid: (30.442537 , 29.0)
Size: 2 | Area: 7418.287 | Centroid: (42.0 , 9.431129)
Size: 2 | Area: 7337.544 | Centroid: (47.555775 , 43.000004)
Size: 1 | Area: 4366.445 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3068.477 | Centroid: (29.0 , 13.000001)
Size: 1 | Area: 2850.3164 | Centroid: (10.0 , 27.000002)
