Index: 1101 | Bright Bodies: 19

Size: 34 | Area: 2309165.5 | Centroid: (40.007473 , 31.591568)
Size: 28 | Area: 1589971.9 | Centroid: (14.314083 , 42.438633)
Size: 15 | Area: 689371.5 | Centroid: (0.30938175 , 8.032204)
Size: 14 | Area: 196363.22 | Centroid: (9.279637 , 36.833534)
Size: 8 | Area: 189235.62 | Centroid: (15.32873 , 48.895767)
Size: 8 | Area: 71310.54 | Centroid: (22.959772 , 13.262394)
Size: 6 | Area: 57621.383 | Centroid: (28.08988 , 25.485971)
Size: 6 | Area: 48724.63 | Centroid: (12.019563 , 16.496284)
Size: 5 | Area: 38906.383 | Centroid: (2.7639523 , 35.410324)
Size: 4 | Area: 31485.857 | Centroid: (41.369835 , 38.627895)
Size: 4 | Area: 24209.57 | Centroid: (26.449827 , 35.362442)
Size: 2 | Area: 11115.517 | Centroid: (44.413017 , 22.0)
Size: 2 | Area: 8924.918 | Centroid: (21.0 , 45.544083)
Size: 1 | Area: 6585.9673 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4854.1914 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4542.9507 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 4482.071 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3064.6934 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2883.959 | Centroid: (29.999998 , 12.0)
