Index: 384 | Bright Bodies: 21

Size: 31 | Area: 2298760.2 | Centroid: (40.310905 , 31.283287)
Size: 29 | Area: 1593880.5 | Centroid: (14.5861635 , 42.168312)
Size: 18 | Area: 891053.06 | Centroid: (0.40831074 , 7.7754245)
Size: 9 | Area: 271591.53 | Centroid: (15.445695 , 48.856247)
Size: 15 | Area: 193519.4 | Centroid: (9.571323 , 36.5486)
Size: 7 | Area: 65997.21 | Centroid: (23.234678 , 12.980502)
Size: 6 | Area: 55874.605 | Centroid: (28.37809 , 25.101198)
Size: 6 | Area: 47067.53 | Centroid: (12.338814 , 16.105547)
Size: 7 | Area: 41161.42 | Centroid: (3.194431 , 35.040718)
Size: 5 | Area: 32231.742 | Centroid: (41.417377 , 38.331436)
Size: 3 | Area: 18807.602 | Centroid: (26.745806 , 34.82658)
Size: 2 | Area: 12165.186 | Centroid: (6.333368 , 49.000004)
Size: 2 | Area: 9635.271 | Centroid: (44.999996 , 21.387487)
Size: 2 | Area: 7681.4814 | Centroid: (30.999998 , 28.494596)
Size: 2 | Area: 7324.844 | Centroid: (0.0 , 14.443426)
Size: 1 | Area: 5442.275 | Centroid: (21.0 , 45.0)
Size: 1 | Area: 4537.838 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 3987.1338 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3271.262 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3011.3767 | Centroid: (48.0 , 42.0)
Size: 1 | Area: 2994.3262 | Centroid: (29.999998 , 12.0)
