Index: 2015 | Bright Bodies: 19

Size: 32 | Area: 2309720.0 | Centroid: (40.019527 , 31.637548)
Size: 28 | Area: 1596576.8 | Centroid: (14.32489 , 42.49514)
Size: 14 | Area: 691972.0 | Centroid: (0.30796713 , 8.061333)
Size: 13 | Area: 196077.36 | Centroid: (9.30356 , 36.902134)
Size: 7 | Area: 175040.98 | Centroid: (15.391741 , 48.909344)
Size: 8 | Area: 72982.516 | Centroid: (22.967068 , 13.310477)
Size: 5 | Area: 56481.008 | Centroid: (28.145437 , 25.564312)
Size: 6 | Area: 49883.535 | Centroid: (12.027652 , 16.54963)
Size: 5 | Area: 40201.02 | Centroid: (2.772448 , 35.464123)
Size: 4 | Area: 32174.336 | Centroid: (41.368156 , 38.676205)
Size: 4 | Area: 25166.078 | Centroid: (26.44891 , 35.41496)
Size: 2 | Area: 12022.742 | Centroid: (44.404797 , 21.999998)
Size: 2 | Area: 9436.262 | Centroid: (21.0 , 45.602757)
Size: 1 | Area: 7062.018 | Centroid: (31.0 , 29.000002)
Size: 1 | Area: 5435.6025 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4753.0854 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3947.8154 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3109.4048 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3060.3447 | Centroid: (0.0 , 14.000001)
