Index: 1496 | Bright Bodies: 19

Size: 28 | Area: 2291795.2 | Centroid: (39.61699 , 31.809313)
Size: 28 | Area: 1598302.2 | Centroid: (13.917494 , 42.74177)
Size: 15 | Area: 443549.12 | Centroid: (0.27500275 , 8.235718)
Size: 10 | Area: 186041.8 | Centroid: (8.916991 , 37.19752)
Size: 7 | Area: 85159.805 | Centroid: (15.289361 , 48.88733)
Size: 6 | Area: 67275.11 | Centroid: (22.511198 , 13.655084)
Size: 6 | Area: 58416.91 | Centroid: (27.690584 , 25.749435)
Size: 6 | Area: 49392.45 | Centroid: (11.61188 , 16.758364)
Size: 7 | Area: 38347.566 | Centroid: (40.75513 , 38.760616)
Size: 4 | Area: 38260.62 | Centroid: (2.3660715 , 35.67926)
Size: 4 | Area: 24944.498 | Centroid: (26.27176 , 35.5918)
Size: 2 | Area: 9581.298 | Centroid: (20.422123 , 46.0)
Size: 1 | Area: 9251.148 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8854.558 | Centroid: (30.494974 , 29.0)
Size: 1 | Area: 4434.9487 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4320.255 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3769.0388 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2754.7468 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2716.5068 | Centroid: (18.0 , 19.0)
