Index: 4 | Bright Bodies: 23

Size: 31 | Area: 2295039.5 | Centroid: (40.40644 , 31.413212)
Size: 24 | Area: 1583399.5 | Centroid: (14.650545 , 42.305447)
Size: 18 | Area: 966077.7 | Centroid: (0.4156163 , 7.987889)
Size: 9 | Area: 210647.61 | Centroid: (15.678665 , 48.885773)
Size: 14 | Area: 193410.84 | Centroid: (9.729184 , 36.677975)
Size: 6 | Area: 66017.31 | Centroid: (23.31283 , 13.11336)
Size: 5 | Area: 54957.94 | Centroid: (28.419945 , 25.296175)
Size: 4 | Area: 44261.07 | Centroid: (12.337444 , 16.373135)
Size: 4 | Area: 36644.727 | Centroid: (3.2584293 , 35.32052)
Size: 5 | Area: 33864.633 | Centroid: (41.472923 , 38.43873)
Size: 2 | Area: 16635.688 | Centroid: (26.999998 , 35.205597)
Size: 3 | Area: 11228.273 | Centroid: (21.25103 , 45.31359)
Size: 2 | Area: 11225.302 | Centroid: (45.0 , 21.580034)
Size: 2 | Area: 9626.208 | Centroid: (6.354069 , 48.999996)
Size: 2 | Area: 8453.246 | Centroid: (0.0 , 14.481906)
Size: 2 | Area: 7837.5264 | Centroid: (31.0 , 28.630404)
Size: 1 | Area: 5293.018 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3764.9343 | Centroid: (41.999996 , 19.0)
Size: 1 | Area: 2981.3506 | Centroid: (13.999999 , 0.0)
Size: 1 | Area: 2974.94 | Centroid: (48.000004 , 43.0)
Size: 1 | Area: 2950.9248 | Centroid: (44.0 , 49.0)
Size: 1 | Area: 2831.493 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2726.6091 | Centroid: (19.0 , 19.0)
