Index: 1843 | Bright Bodies: 20

Size: 33 | Area: 2312597.2 | Centroid: (39.89383 , 31.710615)
Size: 26 | Area: 1588540.2 | Centroid: (14.212807 , 42.568687)
Size: 15 | Area: 606998.5 | Centroid: (0.3012857 , 8.097911)
Size: 13 | Area: 195055.5 | Centroid: (9.1924715 , 36.962875)
Size: 8 | Area: 154312.16 | Centroid: (15.329611 , 48.891796)
Size: 6 | Area: 66854.14 | Centroid: (22.792757 , 13.480074)
Size: 6 | Area: 58715.758 | Centroid: (28.004705 , 25.588144)
Size: 6 | Area: 49667.883 | Centroid: (11.921585 , 16.59603)
Size: 5 | Area: 40440.17 | Centroid: (2.6620774 , 35.520435)
Size: 4 | Area: 31754.477 | Centroid: (41.311123 , 38.713966)
Size: 4 | Area: 25469.428 | Centroid: (26.381262 , 35.460983)
Size: 2 | Area: 12237.378 | Centroid: (44.3263 , 22.0)
Size: 3 | Area: 11758.879 | Centroid: (20.734097 , 45.73082)
Size: 2 | Area: 7362.1123 | Centroid: (42.523277 , 9.000001)
Size: 1 | Area: 6551.014 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5544.534 | Centroid: (47.999996 , 43.0)
Size: 1 | Area: 3302.7285 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3241.8198 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3002.9475 | Centroid: (14.999999 , 25.0)
Size: 1 | Area: 2988.6226 | Centroid: (30.000002 , 13.0)
