Index: 815 | Bright Bodies: 19

Size: 36 | Area: 2314547.2 | Centroid: (39.94154 , 31.613415)
Size: 27 | Area: 1587857.2 | Centroid: (14.245671 , 42.461884)
Size: 16 | Area: 647395.9 | Centroid: (0.31170738 , 8.059176)
Size: 14 | Area: 195011.9 | Centroid: (9.231322 , 36.84487)
Size: 8 | Area: 179188.6 | Centroid: (15.26984 , 48.893375)
Size: 8 | Area: 70230.64 | Centroid: (22.896193 , 13.275466)
Size: 6 | Area: 57024.91 | Centroid: (28.02901 , 25.486557)
Size: 6 | Area: 48207.383 | Centroid: (11.954817 , 16.495054)
Size: 4 | Area: 35868.64 | Centroid: (2.6064286 , 35.445408)
Size: 4 | Area: 30801.506 | Centroid: (41.347523 , 38.616554)
Size: 4 | Area: 23915.852 | Centroid: (26.419073 , 35.368923)
Size: 3 | Area: 13465.582 | Centroid: (44.300816 , 21.790897)
Size: 2 | Area: 8276.933 | Centroid: (21.0 , 45.520386)
Size: 2 | Area: 6944.6914 | Centroid: (42.580173 , 9.000001)
Size: 1 | Area: 5825.779 | Centroid: (31.0 , 28.999998)
Size: 1 | Area: 4517.4966 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 4477.255 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3095.3535 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2711.8403 | Centroid: (30.0 , 12.0)
