Index: 459 | Bright Bodies: 21

Size: 31 | Area: 2299471.8 | Centroid: (40.124363 , 31.421537)
Size: 27 | Area: 1579779.5 | Centroid: (14.404182 , 42.30699)
Size: 18 | Area: 783813.2 | Centroid: (0.34578308 , 7.98072)
Size: 8 | Area: 225839.55 | Centroid: (15.266048 , 48.890224)
Size: 15 | Area: 194820.3 | Centroid: (9.401259 , 36.668354)
Size: 8 | Area: 68310.086 | Centroid: (23.064915 , 13.125771)
Size: 5 | Area: 53177.64 | Centroid: (28.250683 , 25.270708)
Size: 4 | Area: 41409.406 | Centroid: (12.237336 , 16.348782)
Size: 6 | Area: 38964.617 | Centroid: (2.9564164 , 35.324093)
Size: 5 | Area: 33642.363 | Centroid: (41.32342 , 38.41546)
Size: 3 | Area: 19462.46 | Centroid: (26.63486 , 35.145897)
Size: 4 | Area: 15391.04 | Centroid: (44.53983 , 21.529823)
Size: 2 | Area: 8600.769 | Centroid: (31.000002 , 28.567083)
Size: 2 | Area: 8580.503 | Centroid: (21.0 , 45.37317)
Size: 1 | Area: 7485.103 | Centroid: (6.0 , 49.0)
Size: 2 | Area: 6496.3643 | Centroid: (48.000004 , 42.508133)
Size: 1 | Area: 4316.873 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3225.4087 | Centroid: (30.0 , 12.000001)
Size: 1 | Area: 3175.5818 | Centroid: (42.0 , 48.999996)
Size: 1 | Area: 2776.8003 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 2736.584 | Centroid: (0.0 , 14.999999)
