Index: 1181 | Bright Bodies: 20

Size: 33 | Area: 2308470.2 | Centroid: (39.858814 , 31.707521)
Size: 26 | Area: 1585043.5 | Centroid: (14.179954 , 42.54565)
Size: 15 | Area: 583939.5 | Centroid: (0.29423448 , 8.092458)
Size: 13 | Area: 193276.52 | Centroid: (9.119787 , 36.928024)
Size: 8 | Area: 155342.58 | Centroid: (15.289424 , 48.893288)
Size: 6 | Area: 65968.6 | Centroid: (22.75719 , 13.458589)
Size: 6 | Area: 58182.027 | Centroid: (27.975138 , 25.56496)
Size: 6 | Area: 49007.957 | Centroid: (11.887436 , 16.573755)
Size: 4 | Area: 37329.168 | Centroid: (2.5357676 , 35.533134)
Size: 4 | Area: 31331.94 | Centroid: (41.297432 , 38.69616)
Size: 4 | Area: 25050.889 | Centroid: (26.363556 , 35.436737)
Size: 2 | Area: 11824.3955 | Centroid: (44.307663 , 21.999998)
Size: 3 | Area: 11334.213 | Centroid: (20.71936 , 45.716583)
Size: 2 | Area: 7206.356 | Centroid: (42.49675 , 9.0)
Size: 1 | Area: 6283.125 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5235.0693 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3363.7898 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3306.568 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2762.165 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2752.4973 | Centroid: (41.0 , 19.0)
