Index: 566 | Bright Bodies: 21

Size: 28 | Area: 2291436.8 | Centroid: (40.425926 , 31.175316)
Size: 27 | Area: 1586948.5 | Centroid: (14.673115 , 42.099426)
Size: 18 | Area: 978742.0 | Centroid: (0.42449763 , 7.6273994)
Size: 9 | Area: 298518.75 | Centroid: (15.59081 , 48.857113)
Size: 13 | Area: 191521.1 | Centroid: (9.728848 , 36.431854)
Size: 6 | Area: 66520.69 | Centroid: (23.327702 , 12.917958)
Size: 6 | Area: 57531.87 | Centroid: (28.423763 , 25.027344)
Size: 6 | Area: 49326.703 | Centroid: (12.373193 , 16.034678)
Size: 6 | Area: 41803.875 | Centroid: (3.3013334 , 34.983597)
Size: 5 | Area: 33059.21 | Centroid: (41.485504 , 38.266544)
Size: 2 | Area: 17058.812 | Centroid: (27.000002 , 34.77633)
Size: 2 | Area: 14223.014 | Centroid: (6.31743 , 49.0)
Size: 3 | Area: 12640.775 | Centroid: (43.00082 , 48.999996)
Size: 2 | Area: 11353.943 | Centroid: (45.0 , 21.35298)
Size: 2 | Area: 9269.635 | Centroid: (21.328352 , 45.0)
Size: 2 | Area: 8619.43 | Centroid: (0.0 , 14.452848)
Size: 2 | Area: 7798.261 | Centroid: (31.0 , 28.41647)
Size: 2 | Area: 7212.757 | Centroid: (43.0 , 8.563268)
Size: 1 | Area: 4025.6636 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3329.1584 | Centroid: (48.0 , 42.0)
Size: 1 | Area: 3229.331 | Centroid: (30.0 , 12.0)
