Index: 2121 | Bright Bodies: 19

Size: 34 | Area: 2312766.2 | Centroid: (39.74101 , 31.814104)
Size: 28 | Area: 1601515.6 | Centroid: (14.060978 , 42.69288)
Size: 15 | Area: 517917.9 | Centroid: (0.29596993 , 8.212439)
Size: 12 | Area: 193065.52 | Centroid: (9.055237 , 37.137253)
Size: 8 | Area: 108101.94 | Centroid: (15.321565 , 48.869804)
Size: 5 | Area: 64700.676 | Centroid: (22.594275 , 13.553674)
Size: 7 | Area: 61611.33 | Centroid: (27.867884 , 25.725513)
Size: 5 | Area: 46731.53 | Centroid: (11.705003 , 16.645891)
Size: 7 | Area: 39702.367 | Centroid: (40.808052 , 38.73855)
Size: 4 | Area: 38279.875 | Centroid: (2.4469576 , 35.64824)
Size: 4 | Area: 25695.646 | Centroid: (26.324791 , 35.556557)
Size: 2 | Area: 12107.182 | Centroid: (44.262367 , 22.0)
Size: 2 | Area: 9560.867 | Centroid: (20.519686 , 46.0)
Size: 2 | Area: 9137.206 | Centroid: (30.605637 , 29.0)
Size: 2 | Area: 7035.3994 | Centroid: (42.416737 , 9.0)
Size: 1 | Area: 5172.253 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3546.2332 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3106.437 | Centroid: (15.0 , 24.999998)
Size: 1 | Area: 3094.4543 | Centroid: (30.0 , 13.0)
