Index: 1966 | Bright Bodies: 19

Size: 35 | Area: 2318619.0 | Centroid: (39.994453 , 31.639019)
Size: 28 | Area: 1597488.5 | Centroid: (14.301613 , 42.49558)
Size: 15 | Area: 678028.75 | Centroid: (0.32344154 , 8.060037)
Size: 14 | Area: 198450.23 | Centroid: (9.270367 , 36.888363)
Size: 8 | Area: 173611.4 | Centroid: (15.358875 , 48.890392)
Size: 8 | Area: 72526.67 | Centroid: (22.941648 , 13.311193)
Size: 6 | Area: 58359.855 | Centroid: (28.067968 , 25.53617)
Size: 6 | Area: 49532.25 | Centroid: (11.998632 , 16.545101)
Size: 5 | Area: 39711.867 | Centroid: (2.744605 , 35.460884)
Size: 4 | Area: 31774.807 | Centroid: (41.36135 , 38.667694)
Size: 4 | Area: 24923.018 | Centroid: (26.437769 , 35.41475)
Size: 2 | Area: 11667.887 | Centroid: (44.396446 , 22.0)
Size: 2 | Area: 9038.657 | Centroid: (21.0 , 45.586933)
Size: 1 | Area: 6692.617 | Centroid: (30.999998 , 29.000002)
Size: 1 | Area: 5163.429 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4485.1367 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3986.9534 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3111.7908 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2943.0735 | Centroid: (0.0 , 13.999999)
