Index: 1500 | Bright Bodies: 20

Size: 29 | Area: 2282407.8 | Centroid: (39.46149 , 31.905966)
Size: 29 | Area: 1600682.5 | Centroid: (13.721891 , 42.91958)
Size: 15 | Area: 359028.44 | Centroid: (0.24810694 , 8.411667)
Size: 14 | Area: 196371.16 | Centroid: (8.745215 , 37.318478)
Size: 5 | Area: 64448.46 | Centroid: (22.353302 , 13.785503)
Size: 6 | Area: 62765.938 | Centroid: (15.040321 , 48.95643)
Size: 7 | Area: 61411.01 | Centroid: (27.519798 , 25.891575)
Size: 6 | Area: 49469.48 | Centroid: (11.393498 , 16.944841)
Size: 5 | Area: 40324.582 | Centroid: (2.335569 , 35.84118)
Size: 6 | Area: 35738.06 | Centroid: (40.692158 , 39.036133)
Size: 3 | Area: 20659.326 | Centroid: (26.12816 , 35.756783)
Size: 2 | Area: 11507.121 | Centroid: (44.0 , 22.268877)
Size: 2 | Area: 9863.299 | Centroid: (20.326206 , 45.999996)
Size: 2 | Area: 8327.225 | Centroid: (30.365854 , 29.0)
Size: 2 | Area: 7413.4287 | Centroid: (42.0 , 9.4556)
Size: 2 | Area: 6944.746 | Centroid: (47.45281 , 43.0)
Size: 1 | Area: 4103.0435 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3337.6084 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 2793.4724 | Centroid: (10.0 , 27.000002)
Size: 1 | Area: 2639.0674 | Centroid: (13.0 , 1.0)
