Index: 724 | Bright Bodies: 20

Size: 33 | Area: 2307106.0 | Centroid: (39.910526 , 31.623432)
Size: 27 | Area: 1584354.4 | Centroid: (14.230718 , 42.449028)
Size: 15 | Area: 623143.0 | Centroid: (0.29057834 , 8.041503)
Size: 14 | Area: 195546.39 | Centroid: (9.196475 , 36.831017)
Size: 8 | Area: 183880.03 | Centroid: (15.248643 , 48.895912)
Size: 8 | Area: 70466.77 | Centroid: (22.874002 , 13.262073)
Size: 6 | Area: 57437.46 | Centroid: (28.023273 , 25.474388)
Size: 6 | Area: 48550.836 | Centroid: (11.941373 , 16.483965)
Size: 4 | Area: 36547.363 | Centroid: (2.590675 , 35.431694)
Size: 4 | Area: 31355.09 | Centroid: (41.326897 , 38.610733)
Size: 4 | Area: 24142.346 | Centroid: (26.395895 , 35.352734)
Size: 3 | Area: 13818.504 | Centroid: (44.277996 , 21.783958)
Size: 2 | Area: 8351.881 | Centroid: (21.0 , 45.511208)
Size: 2 | Area: 7139.241 | Centroid: (42.5554 , 9.0)
Size: 1 | Area: 6070.887 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4663.5723 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4607.977 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3359.7937 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2937.321 | Centroid: (41.0 , 19.0)
Size: 1 | Area: 2834.7705 | Centroid: (30.0 , 12.0)
