Index: 397 | Bright Bodies: 20

Size: 31 | Area: 2294046.2 | Centroid: (40.576927 , 31.08459)
Size: 28 | Area: 1592489.4 | Centroid: (14.852964 , 41.949802)
Size: 18 | Area: 1010288.06 | Centroid: (0.5110937 , 7.474712)
Size: 10 | Area: 358267.75 | Centroid: (15.687792 , 48.838295)
Size: 14 | Area: 191179.39 | Centroid: (9.925682 , 36.331688)
Size: 5 | Area: 62572.61 | Centroid: (23.432491 , 12.759386)
Size: 6 | Area: 55544.773 | Centroid: (28.650537 , 24.920435)
Size: 5 | Area: 44830.992 | Centroid: (12.511131 , 15.859174)
Size: 5 | Area: 38898.43 | Centroid: (3.3944337 , 34.81307)
Size: 5 | Area: 31024.234 | Centroid: (41.7536 , 38.123203)
Size: 3 | Area: 20257.525 | Centroid: (27.159782 , 34.722576)
Size: 2 | Area: 15314.971 | Centroid: (6.4672894 , 49.0)
Size: 3 | Area: 14930.518 | Centroid: (42.83591 , 49.0)
Size: 2 | Area: 10899.514 | Centroid: (45.0 , 21.261593)
Size: 2 | Area: 10591.584 | Centroid: (0.0 , 14.343308)
Size: 2 | Area: 8998.815 | Centroid: (21.433054 , 45.0)
Size: 2 | Area: 7807.2676 | Centroid: (31.527252 , 28.000002)
Size: 2 | Area: 6274.692 | Centroid: (43.0 , 8.4658375)
Size: 1 | Area: 3855.3228 | Centroid: (49.0 , 42.0)
Size: 1 | Area: 3652.881 | Centroid: (42.0 , 19.0)
