Index: 657 | Bright Bodies: 19

Size: 32 | Area: 2302206.8 | Centroid: (39.84348 , 31.676485)
Size: 26 | Area: 1581147.5 | Centroid: (14.163838 , 42.496758)
Size: 15 | Area: 577997.9 | Centroid: (0.2854332 , 8.077714)
Size: 14 | Area: 194645.72 | Centroid: (9.139499 , 36.87722)
Size: 8 | Area: 165370.02 | Centroid: (15.219928 , 48.894485)
Size: 7 | Area: 67956.92 | Centroid: (22.75919 , 13.354569)
Size: 6 | Area: 57495.992 | Centroid: (27.963041 , 25.510408)
Size: 6 | Area: 48559.242 | Centroid: (11.8757515 , 16.5194)
Size: 4 | Area: 37009.652 | Centroid: (2.535293 , 35.471424)
Size: 4 | Area: 31111.623 | Centroid: (41.29775 , 38.64244)
Size: 4 | Area: 24382.062 | Centroid: (26.3617 , 35.38719)
Size: 3 | Area: 13911.865 | Centroid: (44.250614 , 21.799238)
Size: 3 | Area: 10904.854 | Centroid: (20.726532 , 45.66689)
Size: 2 | Area: 7122.454 | Centroid: (42.4988 , 9.0)
Size: 1 | Area: 5744.547 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4739.8657 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3967.866 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3410.432 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2923.6885 | Centroid: (41.0 , 19.0)
