Index: 1117 | Bright Bodies: 19

Size: 34 | Area: 2310663.5 | Centroid: (39.929893 , 31.633268)
Size: 27 | Area: 1587296.6 | Centroid: (14.245957 , 42.469624)
Size: 15 | Area: 633346.94 | Centroid: (0.29874665 , 8.047505)
Size: 14 | Area: 196152.98 | Centroid: (9.207589 , 36.861908)
Size: 8 | Area: 177969.45 | Centroid: (15.296559 , 48.893593)
Size: 8 | Area: 71395.37 | Centroid: (22.886139 , 13.290055)
Size: 6 | Area: 57848.777 | Centroid: (28.03377 , 25.509819)
Size: 6 | Area: 48820.06 | Centroid: (11.954009 , 16.519316)
Size: 4 | Area: 36617.344 | Centroid: (2.596841 , 35.472008)
Size: 4 | Area: 31465.469 | Centroid: (41.33062 , 38.645462)
Size: 4 | Area: 24585.533 | Centroid: (26.401419 , 35.385567)
Size: 2 | Area: 11299.197 | Centroid: (44.358833 , 22.0)
Size: 2 | Area: 8544.049 | Centroid: (21.0 , 45.559948)
Size: 2 | Area: 7194.073 | Centroid: (42.561905 , 9.0)
Size: 1 | Area: 6413.6772 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 4962.005 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4117.3013 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3286.2163 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2853.0396 | Centroid: (41.0 , 19.0)
