Index: 1370 | Bright Bodies: 21

Size: 30 | Area: 2288846.2 | Centroid: (39.33993 , 32.021225)
Size: 27 | Area: 1600673.5 | Centroid: (13.580282 , 43.04693)
Size: 15 | Area: 298071.78 | Centroid: (0.24379289 , 8.51342)
Size: 14 | Area: 196785.8 | Centroid: (8.639247 , 37.395683)
Size: 6 | Area: 66464.3 | Centroid: (22.288622 , 13.90837)
Size: 6 | Area: 59381.266 | Centroid: (27.363335 , 26.014452)
Size: 6 | Area: 49811.254 | Centroid: (11.329621 , 17.019196)
Size: 5 | Area: 48037.52 | Centroid: (15.021289 , 48.999996)
Size: 6 | Area: 41735.355 | Centroid: (2.274958 , 35.972656)
Size: 5 | Area: 34089.023 | Centroid: (40.41707 , 39.26143)
Size: 3 | Area: 20888.16 | Centroid: (25.78134 , 35.821434)
Size: 3 | Area: 13371.738 | Centroid: (43.80017 , 22.281607)
Size: 2 | Area: 9685.4375 | Centroid: (20.28401 , 46.000004)
Size: 2 | Area: 8700.179 | Centroid: (30.000002 , 29.389122)
Size: 2 | Area: 7635.3643 | Centroid: (41.999996 , 9.550956)
Size: 1 | Area: 4204.015 | Centroid: (47.0 , 43.0)
Size: 1 | Area: 3837.6782 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3798.2998 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 2975.8408 | Centroid: (13.0 , 1.0)
Size: 1 | Area: 2727.312 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2597.4841 | Centroid: (14.0 , 25.0)
