Index: 22 | Bright Bodies: 21

Size: 31 | Area: 2291672.2 | Centroid: (40.267883 , 31.466923)
Size: 26 | Area: 1584686.5 | Centroid: (14.516625 , 42.35416)
Size: 18 | Area: 882462.2 | Centroid: (0.36508608 , 8.062092)
Size: 8 | Area: 199676.72 | Centroid: (15.43117 , 48.897038)
Size: 14 | Area: 192857.11 | Centroid: (9.541406 , 36.76077)
Size: 7 | Area: 66759.8 | Centroid: (23.208416 , 13.162272)
Size: 4 | Area: 52910.086 | Centroid: (28.311443 , 25.40819)
Size: 4 | Area: 44259.45 | Centroid: (12.27474 , 16.41591)
Size: 4 | Area: 35188.73 | Centroid: (3.2185342 , 35.36122)
Size: 5 | Area: 34045.367 | Centroid: (41.387135 , 38.487206)
Size: 3 | Area: 19725.059 | Centroid: (26.75784 , 35.196083)
Size: 3 | Area: 13195.787 | Centroid: (44.7365 , 21.711624)
Size: 2 | Area: 8887.361 | Centroid: (21.0 , 45.46776)
Size: 2 | Area: 8629.711 | Centroid: (6.323673 , 49.0)
Size: 2 | Area: 8557.941 | Centroid: (30.999996 , 28.66645)
Size: 2 | Area: 6556.41 | Centroid: (0.0 , 14.468995)
Size: 1 | Area: 5301.067 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3663.5544 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3130.164 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 2926.3462 | Centroid: (29.999998 , 12.000001)
Size: 1 | Area: 2892.2778 | Centroid: (14.0 , 0.0)
