Index: 7 | Bright Bodies: 22

Size: 31 | Area: 2292725.8 | Centroid: (40.3737 , 31.416552)
Size: 25 | Area: 1585263.2 | Centroid: (14.611753 , 42.31145)
Size: 17 | Area: 945381.2 | Centroid: (0.39402923 , 8.01062)
Size: 8 | Area: 206845.94 | Centroid: (15.60489 , 48.88841)
Size: 13 | Area: 190654.89 | Centroid: (9.666517 , 36.715034)
Size: 6 | Area: 66013.15 | Centroid: (23.298363 , 13.123553)
Size: 4 | Area: 52481.89 | Centroid: (28.366547 , 25.372328)
Size: 4 | Area: 44359.24 | Centroid: (12.318978 , 16.380844)
Size: 4 | Area: 36439.977 | Centroid: (3.2462845 , 35.327953)
Size: 5 | Area: 33973.047 | Centroid: (41.45055 , 38.44879)
Size: 3 | Area: 19511.428 | Centroid: (26.834343 , 35.18099)
Size: 3 | Area: 11294.54 | Centroid: (21.240728 , 45.324512)
Size: 2 | Area: 10904.867 | Centroid: (44.999996 , 21.586187)
Size: 2 | Area: 9476.942 | Centroid: (6.3423243 , 49.0)
Size: 2 | Area: 8073.2905 | Centroid: (31.000002 , 28.636787)
Size: 2 | Area: 7935.4917 | Centroid: (0.0 , 14.477768)
Size: 1 | Area: 5342.3677 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3624.6338 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3140.6917 | Centroid: (48.0 , 42.999996)
Size: 1 | Area: 2993.545 | Centroid: (14.0 , 0.0)
Size: 1 | Area: 2893.0693 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2811.352 | Centroid: (44.0 , 49.0)
