Index: 1964 | Bright Bodies: 20

Size: 31 | Area: 2306257.8 | Centroid: (39.765125 , 31.79535)
Size: 26 | Area: 1592393.9 | Centroid: (14.100041 , 42.664883)
Size: 15 | Area: 530856.1 | Centroid: (0.29279023 , 8.1750345)
Size: 12 | Area: 193261.42 | Centroid: (9.065006 , 37.111065)
Size: 8 | Area: 113719.305 | Centroid: (15.337961 , 48.873363)
Size: 5 | Area: 64874.46 | Centroid: (22.616936 , 13.535635)
Size: 6 | Area: 58846.31 | Centroid: (27.89503 , 25.650629)
Size: 5 | Area: 46923.598 | Centroid: (11.73614 , 16.634829)
Size: 4 | Area: 38330.016 | Centroid: (2.4650207 , 35.63391)
Size: 4 | Area: 31092.918 | Centroid: (41.26612 , 38.755226)
Size: 4 | Area: 25751.508 | Centroid: (26.33008 , 35.537476)
Size: 2 | Area: 12276.94 | Centroid: (44.265842 , 22.0)
Size: 2 | Area: 9405.258 | Centroid: (20.543093 , 46.0)
Size: 2 | Area: 9185.098 | Centroid: (30.638342 , 29.000002)
Size: 2 | Area: 7117.454 | Centroid: (42.428875 , 9.0)
Size: 2 | Area: 6221.6836 | Centroid: (39.0 , 38.49799)
Size: 1 | Area: 5396.3203 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3427.7664 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3156.079 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 3121.579 | Centroid: (30.0 , 13.0)
