Index: 897 | Bright Bodies: 22

Size: 31 | Area: 2291044.2 | Centroid: (39.218353 , 32.074123)
Size: 26 | Area: 1594339.2 | Centroid: (13.47156 , 43.080048)
Size: 13 | Area: 243344.39 | Centroid: (0.22879072 , 8.628578)
Size: 14 | Area: 196166.03 | Centroid: (8.461543 , 37.454082)
Size: 7 | Area: 68151.44 | Centroid: (22.171549 , 13.930571)
Size: 6 | Area: 58934.89 | Centroid: (27.313002 , 26.03163)
Size: 6 | Area: 48712.094 | Centroid: (11.287134 , 17.037281)
Size: 5 | Area: 43543.004 | Centroid: (14.872939 , 49.0)
Size: 7 | Area: 43116.688 | Centroid: (2.131919 , 35.992138)
Size: 5 | Area: 33810.316 | Centroid: (40.348923 , 39.28153)
Size: 3 | Area: 20599.832 | Centroid: (25.6713 , 35.836037)
Size: 4 | Area: 15738.803 | Centroid: (43.58903 , 22.395151)
Size: 2 | Area: 8980.858 | Centroid: (30.0 , 29.402885)
Size: 2 | Area: 7245.3154 | Centroid: (42.0 , 9.55999)
Size: 1 | Area: 6901.3486 | Centroid: (20.0 , 46.0)
Size: 1 | Area: 4424.428 | Centroid: (47.0 , 43.0)
Size: 1 | Area: 3883.6626 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 3191.02 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2833.2817 | Centroid: (13.000001 , 1.0)
Size: 1 | Area: 2739.548 | Centroid: (13.999999 , 25.0)
Size: 1 | Area: 2615.4111 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2499.799 | Centroid: (31.0 , 22.0)
