Index: 1286 | Bright Bodies: 20

Size: 31 | Area: 2299524.2 | Centroid: (39.67386 , 31.77046)
Size: 28 | Area: 1594543.9 | Centroid: (13.9895315 , 42.669174)
Size: 15 | Area: 474262.88 | Centroid: (0.2800934 , 8.17178)
Size: 12 | Area: 191259.05 | Centroid: (9.0036745 , 37.118587)
Size: 8 | Area: 100734.8 | Centroid: (15.282107 , 48.867195)
Size: 5 | Area: 64445.066 | Centroid: (22.531824 , 13.541608)
Size: 6 | Area: 57953.215 | Centroid: (27.79231 , 25.652313)
Size: 5 | Area: 46615.05 | Centroid: (11.642622 , 16.641047)
Size: 4 | Area: 38253.117 | Centroid: (2.402552 , 35.63263)
Size: 4 | Area: 29996.844 | Centroid: (41.234848 , 38.75937)
Size: 4 | Area: 25167.738 | Centroid: (26.290833 , 35.53652)
Size: 2 | Area: 11981.873 | Centroid: (44.224678 , 22.000002)
Size: 2 | Area: 9219.316 | Centroid: (20.466085 , 46.000004)
Size: 2 | Area: 8962.28 | Centroid: (30.550007 , 29.0)
Size: 2 | Area: 6209.7773 | Centroid: (39.0 , 38.501385)
Size: 1 | Area: 4773.3423 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4364.005 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3373.2292 | Centroid: (41.000004 , 20.0)
Size: 1 | Area: 2814.1099 | Centroid: (15.0 , 25.000002)
Size: 1 | Area: 2778.828 | Centroid: (18.0 , 19.0)
