Index: 105 | Bright Bodies: 21

Size: 30 | Area: 2292818.8 | Centroid: (40.369747 , 31.300657)
Size: 28 | Area: 1586738.2 | Centroid: (14.624893 , 42.198742)
Size: 18 | Area: 939051.4 | Centroid: (0.4067662 , 7.801318)
Size: 8 | Area: 254862.48 | Centroid: (15.471903 , 48.878674)
Size: 14 | Area: 191413.64 | Centroid: (9.6482115 , 36.53485)
Size: 6 | Area: 64537.574 | Centroid: (23.30529 , 12.987984)
Size: 6 | Area: 56600.35 | Centroid: (28.395782 , 25.104311)
Size: 5 | Area: 45392.72 | Centroid: (12.309535 , 16.178242)
Size: 5 | Area: 37417.594 | Centroid: (3.2356396 , 35.12698)
Size: 5 | Area: 32917.4 | Centroid: (41.44862 , 38.31938)
Size: 3 | Area: 19072.184 | Centroid: (26.80033 , 34.839893)
Size: 2 | Area: 12544.4375 | Centroid: (6.3276677 , 49.0)
Size: 2 | Area: 10530.591 | Centroid: (45.0 , 21.40381)
Size: 2 | Area: 8529.631 | Centroid: (21.338598 , 45.0)
Size: 2 | Area: 7859.617 | Centroid: (0.0 , 14.465687)
Size: 2 | Area: 7761.1685 | Centroid: (31.0 , 28.488771)
Size: 1 | Area: 4359.8896 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 4242.809 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3558.1619 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3049.9673 | Centroid: (29.999998 , 12.000001)
Size: 1 | Area: 2959.9175 | Centroid: (47.999996 , 42.0)
