Index: 1065 | Bright Bodies: 19

Size: 33 | Area: 2308921.2 | Centroid: (39.871075 , 31.690096)
Size: 26 | Area: 1584801.5 | Centroid: (14.189654 , 42.525448)
Size: 15 | Area: 592468.75 | Centroid: (0.29347482 , 8.082322)
Size: 14 | Area: 195845.47 | Centroid: (9.156623 , 36.908447)
Size: 8 | Area: 161197.55 | Centroid: (15.282306 , 48.89386)
Size: 6 | Area: 65512.637 | Centroid: (22.770313 , 13.442171)
Size: 6 | Area: 57997.457 | Centroid: (27.985283 , 25.545658)
Size: 6 | Area: 48884.742 | Centroid: (11.899155 , 16.554514)
Size: 4 | Area: 37109.6 | Centroid: (2.5476062 , 35.51223)
Size: 4 | Area: 31301.977 | Centroid: (41.30382 , 38.678406)
Size: 4 | Area: 24760.861 | Centroid: (26.37 , 35.419743)
Size: 2 | Area: 11602.629 | Centroid: (44.31747 , 22.0)
Size: 3 | Area: 11213.978 | Centroid: (20.729439 , 45.69763)
Size: 2 | Area: 7186.6113 | Centroid: (42.510643 , 9.0)
Size: 1 | Area: 6164.418 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5104.491 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3608.303 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3304.4846 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2773.6843 | Centroid: (41.0 , 19.0)
