Index: 2222 | Bright Bodies: 21

Size: 34 | Area: 2318132.2 | Centroid: (39.878025 , 31.743666)
Size: 26 | Area: 1593308.8 | Centroid: (14.198764 , 42.615288)
Size: 15 | Area: 598514.44 | Centroid: (0.30275518 , 8.129829)
Size: 12 | Area: 194235.06 | Centroid: (9.172181 , 37.02773)
Size: 8 | Area: 143271.62 | Centroid: (15.338744 , 48.88632)
Size: 6 | Area: 67802.59 | Centroid: (22.778181 , 13.511897)
Size: 6 | Area: 59420.145 | Centroid: (27.989698 , 25.614428)
Size: 6 | Area: 50342.15 | Centroid: (11.906268 , 16.619911)
Size: 5 | Area: 41222.023 | Centroid: (2.650889 , 35.549347)
Size: 4 | Area: 32022.623 | Centroid: (41.306377 , 38.727814)
Size: 4 | Area: 26159.38 | Centroid: (26.376936 , 35.495193)
Size: 2 | Area: 12497.945 | Centroid: (44.319016 , 22.000002)
Size: 3 | Area: 12200.248 | Centroid: (20.718191 , 45.74992)
Size: 2 | Area: 7477.356 | Centroid: (42.50905 , 9.0)
Size: 1 | Area: 6615.2837 | Centroid: (31.0 , 29.000002)
Size: 1 | Area: 5696.8696 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3283.6553 | Centroid: (30.0 , 13.0)
Size: 1 | Area: 3249.8545 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3218.2522 | Centroid: (14.999999 , 25.0)
Size: 1 | Area: 3201.3079 | Centroid: (6.0 , 48.999996)
Size: 1 | Area: 3078.8328 | Centroid: (41.0 , 20.0)
