Index: 1826 | Bright Bodies: 21

Size: 33 | Area: 2312549.0 | Centroid: (39.84571 , 31.74113)
Size: 26 | Area: 1588719.8 | Centroid: (14.169943 , 42.596302)
Size: 15 | Area: 575867.3 | Centroid: (0.2977614 , 8.120268)
Size: 12 | Area: 192185.4 | Centroid: (9.1290455 , 36.986237)
Size: 8 | Area: 143258.36 | Centroid: (15.319972 , 48.88825)
Size: 6 | Area: 66786.46 | Centroid: (22.74422 , 13.500309)
Size: 6 | Area: 58643.97 | Centroid: (27.963814 , 25.605162)
Size: 6 | Area: 49565.973 | Centroid: (11.876296 , 16.611973)
Size: 4 | Area: 37846.797 | Centroid: (2.52106 , 35.58024)
Size: 4 | Area: 31527.584 | Centroid: (41.292374 , 38.725327)
Size: 4 | Area: 25466.264 | Centroid: (26.359058 , 35.481167)
Size: 2 | Area: 12190.097 | Centroid: (44.29971 , 22.0)
Size: 3 | Area: 11802.732 | Centroid: (20.701632 , 45.74661)
Size: 2 | Area: 7282.7363 | Centroid: (42.482803 , 9.0)
Size: 1 | Area: 6283.309 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5488.171 | Centroid: (47.999996 , 43.0)
Size: 1 | Area: 3249.257 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3119.044 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3031.703 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2994.396 | Centroid: (30.000002 , 13.0)
Size: 1 | Area: 2894.6233 | Centroid: (41.0 , 20.0)
