Index: 989 | Bright Bodies: 21

Size: 32 | Area: 2300783.8 | Centroid: (39.74587 , 31.747889)
Size: 27 | Area: 1587613.8 | Centroid: (14.06786 , 42.586388)
Size: 15 | Area: 515608.8 | Centroid: (0.28277496 , 8.13714)
Size: 13 | Area: 193173.61 | Centroid: (9.030979 , 37.023853)
Size: 8 | Area: 128900.51 | Centroid: (15.242126 , 48.883793)
Size: 5 | Area: 63644.11 | Centroid: (22.591597 , 13.466741)
Size: 6 | Area: 58147.59 | Centroid: (27.868242 , 25.59194)
Size: 5 | Area: 46387.59 | Centroid: (11.712482 , 16.578264)
Size: 4 | Area: 37864.082 | Centroid: (2.4546986 , 35.56125)
Size: 4 | Area: 30709.662 | Centroid: (41.258213 , 38.715363)
Size: 4 | Area: 24977.973 | Centroid: (26.31697 , 35.464493)
Size: 2 | Area: 11818.885 | Centroid: (44.254585 , 21.999998)
Size: 3 | Area: 11311.061 | Centroid: (20.646004 , 45.74685)
Size: 2 | Area: 8873.997 | Centroid: (30.621181 , 29.0)
Size: 2 | Area: 7100.9316 | Centroid: (42.41246 , 9.0)
Size: 2 | Area: 5461.1777 | Centroid: (41.0 , 19.510208)
Size: 1 | Area: 4935.679 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3354.4119 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2966.2383 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 2735.9094 | Centroid: (18.0 , 19.0)
Size: 1 | Area: 2715.098 | Centroid: (15.0 , 25.0)
