Index: 232 | Bright Bodies: 21

Size: 32 | Area: 2298143.5 | Centroid: (40.32167 , 31.301199)
Size: 29 | Area: 1591431.8 | Centroid: (14.584902 , 42.199493)
Size: 18 | Area: 910617.75 | Centroid: (0.39443165 , 7.803758)
Size: 9 | Area: 259641.38 | Centroid: (15.41685 , 48.858)
Size: 14 | Area: 191180.1 | Centroid: (9.607735 , 36.53459)
Size: 6 | Area: 63712.53 | Centroid: (23.289463 , 12.990184)
Size: 6 | Area: 56569.24 | Centroid: (28.370424 , 25.106056)
Size: 5 | Area: 45148.324 | Centroid: (12.28869 , 16.178436)
Size: 5 | Area: 36734.387 | Centroid: (3.223768 , 35.127686)
Size: 5 | Area: 32878.492 | Centroid: (41.425774 , 38.323334)
Size: 3 | Area: 19115.844 | Centroid: (26.763102 , 34.84091)
Size: 2 | Area: 12415.551 | Centroid: (6.3066473 , 49.0)
Size: 2 | Area: 10089.4375 | Centroid: (45.0 , 21.396929)
Size: 2 | Area: 7977.008 | Centroid: (31.000002 , 28.485823)
Size: 2 | Area: 7263.3013 | Centroid: (0.0 , 14.476815)
Size: 1 | Area: 5717.316 | Centroid: (21.0 , 45.0)
Size: 1 | Area: 4411.2197 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 4173.5654 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3386.0989 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3133.853 | Centroid: (30.0 , 11.999999)
Size: 1 | Area: 3115.4036 | Centroid: (48.0 , 42.0)
