Index: 1421 | Bright Bodies: 20

Size: 33 | Area: 2309902.0 | Centroid: (39.862476 , 31.705875)
Size: 26 | Area: 1588313.4 | Centroid: (14.183673 , 42.547676)
Size: 15 | Area: 586191.8 | Centroid: (0.29613885 , 8.088398)
Size: 14 | Area: 197051.08 | Centroid: (9.149679 , 36.930134)
Size: 8 | Area: 155393.11 | Centroid: (15.299327 , 48.891155)
Size: 6 | Area: 66156.74 | Centroid: (22.760586 , 13.463164)
Size: 6 | Area: 58392.355 | Centroid: (27.978334 , 25.56796)
Size: 6 | Area: 49225.414 | Centroid: (11.891336 , 16.576292)
Size: 4 | Area: 37493.863 | Centroid: (2.5371614 , 35.537613)
Size: 4 | Area: 31457.363 | Centroid: (41.29923 , 38.6969)
Size: 4 | Area: 25134.291 | Centroid: (26.365004 , 35.441948)
Size: 2 | Area: 11929.804 | Centroid: (44.31011 , 22.0)
Size: 3 | Area: 11466.763 | Centroid: (20.720411 , 45.717678)
Size: 2 | Area: 7253.836 | Centroid: (42.498928 , 9.000001)
Size: 1 | Area: 6269.023 | Centroid: (31.000002 , 29.000002)
Size: 1 | Area: 5285.884 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3400.7727 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3316.0864 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2809.5867 | Centroid: (15.0 , 24.999998)
Size: 1 | Area: 2773.5254 | Centroid: (41.0 , 19.0)
