Index: 413 | Bright Bodies: 20

Size: 32 | Area: 2300438.2 | Centroid: (40.101433 , 31.463243)
Size: 27 | Area: 1578912.0 | Centroid: (14.384712 , 42.33304)
Size: 19 | Area: 769971.06 | Centroid: (0.34421274 , 8.011752)
Size: 8 | Area: 217703.62 | Centroid: (15.248477 , 48.891575)
Size: 15 | Area: 194621.81 | Centroid: (9.379222 , 36.692764)
Size: 8 | Area: 68438.09 | Centroid: (23.042852 , 13.149809)
Size: 5 | Area: 52938.023 | Centroid: (28.244175 , 25.291414)
Size: 5 | Area: 43955.707 | Centroid: (12.151851 , 16.342333)
Size: 6 | Area: 39177.117 | Centroid: (2.9342415 , 35.339985)
Size: 5 | Area: 33669.047 | Centroid: (41.31121 , 38.434204)
Size: 3 | Area: 19425.11 | Centroid: (26.625452 , 35.151775)
Size: 4 | Area: 15445.157 | Centroid: (44.52206 , 21.548883)
Size: 2 | Area: 8535.664 | Centroid: (21.0 , 45.390697)
Size: 2 | Area: 8521.791 | Centroid: (31.000002 , 28.584604)
Size: 1 | Area: 7114.6206 | Centroid: (6.0 , 49.0)
Size: 2 | Area: 6539.1416 | Centroid: (47.999996 , 42.526814)
Size: 1 | Area: 4300.9556 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3153.5537 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 2999.5442 | Centroid: (42.0 , 49.000004)
Size: 1 | Area: 2721.433 | Centroid: (42.0 , 19.0)
