Index: 1283 | Bright Bodies: 20

Size: 33 | Area: 2309257.0 | Centroid: (39.870846 , 31.695251)
Size: 26 | Area: 1586106.2 | Centroid: (14.19054 , 42.534405)
Size: 15 | Area: 591799.1 | Centroid: (0.29596227 , 8.08174)
Size: 14 | Area: 196481.7 | Centroid: (9.156225 , 36.91929)
Size: 8 | Area: 158686.1 | Centroid: (15.294443 , 48.892815)
Size: 6 | Area: 66098.44 | Centroid: (22.76923 , 13.4521675)
Size: 6 | Area: 58253.664 | Centroid: (27.985163 , 25.55882)
Size: 6 | Area: 49083.25 | Centroid: (11.898812 , 16.567972)
Size: 4 | Area: 37373.156 | Centroid: (2.54484 , 35.526157)
Size: 4 | Area: 31439.836 | Centroid: (41.30275 , 38.691322)
Size: 4 | Area: 24994.207 | Centroid: (26.369425 , 35.43027)
Size: 2 | Area: 11859.2705 | Centroid: (44.315228 , 21.999998)
Size: 3 | Area: 11361.545 | Centroid: (20.727392 , 45.711216)
Size: 2 | Area: 7252.71 | Centroid: (42.50628 , 9.0)
Size: 1 | Area: 6306.13 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5250.5234 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3442.0842 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 3321.8203 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2757.686 | Centroid: (14.999999 , 25.0)
Size: 1 | Area: 2757.3547 | Centroid: (41.0 , 19.0)
