Index: 1604 | Bright Bodies: 21

Size: 31 | Area: 2301093.8 | Centroid: (39.705193 , 31.774803)
Size: 28 | Area: 1595867.5 | Centroid: (14.026196 , 42.65455)
Size: 15 | Area: 493609.06 | Centroid: (0.28502747 , 8.158135)
Size: 12 | Area: 191825.69 | Centroid: (9.02346 , 37.10848)
Size: 8 | Area: 106688.484 | Centroid: (15.302796 , 48.868305)
Size: 5 | Area: 64261.465 | Centroid: (22.56031 , 13.534076)
Size: 6 | Area: 58378.25 | Centroid: (27.828886 , 25.647005)
Size: 5 | Area: 46734.53 | Centroid: (11.675534 , 16.634134)
Size: 4 | Area: 38249.9 | Centroid: (2.4231832 , 35.62774)
Size: 4 | Area: 30430.719 | Centroid: (41.2457 , 38.754253)
Size: 4 | Area: 25348.797 | Centroid: (26.30392 , 35.531364)
Size: 2 | Area: 12094.362 | Centroid: (44.238903 , 22.0)
Size: 2 | Area: 9226.401 | Centroid: (20.492935 , 46.0)
Size: 2 | Area: 9003.888 | Centroid: (30.581055 , 28.999998)
Size: 2 | Area: 6200.9204 | Centroid: (39.0 , 38.49412)
Size: 1 | Area: 4988.9014 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4289.3467 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3359.5862 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2928.4158 | Centroid: (15.000001 , 24.999998)
Size: 1 | Area: 2808.3262 | Centroid: (29.999998 , 13.000001)
Size: 1 | Area: 2794.8352 | Centroid: (18.0 , 19.0)
