Index: 1137 | Bright Bodies: 19

Size: 33 | Area: 2308783.8 | Centroid: (39.87982 , 31.685074)
Size: 26 | Area: 1584827.9 | Centroid: (14.19839 , 42.521523)
Size: 15 | Area: 597444.56 | Centroid: (0.29537433 , 8.074887)
Size: 14 | Area: 196273.69 | Centroid: (9.163072 , 36.90621)
Size: 8 | Area: 162838.89 | Centroid: (15.291056 , 48.893696)
Size: 8 | Area: 71666.23 | Centroid: (22.834194 , 13.330432)
Size: 6 | Area: 58219.03 | Centroid: (27.993446 , 25.546085)
Size: 6 | Area: 48965.574 | Centroid: (11.9078665 , 16.55511)
Size: 4 | Area: 37164.094 | Centroid: (2.5533373 , 35.51267)
Size: 4 | Area: 31401.266 | Centroid: (41.30657 , 38.679867)
Size: 4 | Area: 24810.783 | Centroid: (26.373339 , 35.41926)
Size: 2 | Area: 11671.999 | Centroid: (44.321323 , 22.0)
Size: 3 | Area: 11255.504 | Centroid: (20.734983 , 45.697582)
Size: 2 | Area: 7211.2783 | Centroid: (42.51585 , 9.0)
Size: 1 | Area: 6375.248 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5161.715 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3608.2734 | Centroid: (6.0 , 49.000004)
Size: 1 | Area: 3306.2354 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 2802.6028 | Centroid: (41.0 , 19.0)
