Index: 1661 | Bright Bodies: 21

Size: 31 | Area: 2301749.0 | Centroid: (40.126823 , 31.508923)
Size: 27 | Area: 1590128.0 | Centroid: (14.406406 , 42.382042)
Size: 15 | Area: 772163.7 | Centroid: (0.32369852 , 8.008731)
Size: 8 | Area: 203399.95 | Centroid: (15.405606 , 48.89256)
Size: 14 | Area: 197723.11 | Centroid: (9.389803 , 36.78909)
Size: 8 | Area: 72094.11 | Centroid: (23.062025 , 13.220945)
Size: 4 | Area: 53221.35 | Centroid: (28.253395 , 25.446922)
Size: 4 | Area: 43899.156 | Centroid: (12.230779 , 16.454647)
Size: 6 | Area: 41813.562 | Centroid: (2.946883 , 35.417397)
Size: 5 | Area: 34973.137 | Centroid: (41.299767 , 38.549572)
Size: 4 | Area: 24116.053 | Centroid: (26.524643 , 35.33387)
Size: 3 | Area: 13932.729 | Centroid: (44.599377 , 21.787876)
Size: 2 | Area: 9532.457 | Centroid: (21.000002 , 45.51744)
Size: 1 | Area: 6636.2773 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5293.2197 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 5112.95 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 4708.764 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3281.4387 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 3185.0044 | Centroid: (30.0 , 12.000001)
Size: 1 | Area: 2983.5264 | Centroid: (44.0 , 49.0)
Size: 1 | Area: 2907.0332 | Centroid: (14.0 , 0.0)
