Index: 1490 | Bright Bodies: 20

Size: 29 | Area: 2285426.8 | Centroid: (39.543114 , 31.809772)
Size: 28 | Area: 1600476.8 | Centroid: (13.820576 , 42.781757)
Size: 15 | Area: 403421.66 | Centroid: (0.26829132 , 8.268236)
Size: 12 | Area: 190769.28 | Centroid: (8.837255 , 37.219498)
Size: 8 | Area: 82708.51 | Centroid: (15.167151 , 48.89006)
Size: 6 | Area: 67355.42 | Centroid: (22.462973 , 13.683866)
Size: 6 | Area: 58804.78 | Centroid: (27.618443 , 25.774384)
Size: 6 | Area: 49568.98 | Centroid: (11.5515175 , 16.782196)
Size: 4 | Area: 38125.824 | Centroid: (2.3257802 , 35.69722)
Size: 6 | Area: 35522.273 | Centroid: (40.765064 , 38.98821)
Size: 4 | Area: 24329.797 | Centroid: (26.249517 , 35.61465)
Size: 2 | Area: 9720.367 | Centroid: (20.37237 , 46.0)
Size: 1 | Area: 9123.847 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8769.033 | Centroid: (30.42757 , 28.999998)
Size: 2 | Area: 7133.3086 | Centroid: (47.542973 , 43.0)
Size: 2 | Area: 7058.7275 | Centroid: (42.0 , 9.378319)
Size: 1 | Area: 3915.982 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2824.6096 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 2737.4297 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2685.6548 | Centroid: (18.0 , 19.0)
