Index: 402 | Bright Bodies: 21

Size: 32 | Area: 2304730.2 | Centroid: (40.735546 , 30.949944)
Size: 26 | Area: 1581630.2 | Centroid: (15.024164 , 41.738007)
Size: 21 | Area: 1041317.56 | Centroid: (0.6304152 , 7.314025)
Size: 10 | Area: 391555.0 | Centroid: (15.845609 , 48.793907)
Size: 13 | Area: 190271.33 | Centroid: (10.033272 , 36.214684)
Size: 5 | Area: 61514.195 | Centroid: (23.539421 , 12.664364)
Size: 8 | Area: 61045.03 | Centroid: (28.900776 , 24.80479)
Size: 5 | Area: 44098.12 | Centroid: (12.622057 , 15.778763)
Size: 4 | Area: 36365.918 | Centroid: (3.4494708 , 34.640675)
Size: 3 | Area: 25336.465 | Centroid: (42.18745 , 37.845036)
Size: 4 | Area: 23831.969 | Centroid: (27.317488 , 34.562767)
Size: 3 | Area: 19404.988 | Centroid: (42.868885 , 49.0)
Size: 3 | Area: 16620.834 | Centroid: (0.0 , 13.981157)
Size: 2 | Area: 15963.371 | Centroid: (6.5828547 , 48.999996)
Size: 2 | Area: 11122.273 | Centroid: (45.275944 , 21.0)
Size: 2 | Area: 8538.53 | Centroid: (21.531528 , 45.0)
Size: 2 | Area: 8157.203 | Centroid: (31.632744 , 28.0)
Size: 2 | Area: 6033.395 | Centroid: (43.48516 , 8.0)
Size: 1 | Area: 4517.9023 | Centroid: (49.0 , 42.0)
Size: 1 | Area: 3153.2314 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3076.4807 | Centroid: (40.0 , 38.0)
