Index: 1449 | Bright Bodies: 19

Size: 28 | Area: 2282203.2 | Centroid: (39.52398 , 31.833937)
Size: 28 | Area: 1598907.6 | Centroid: (13.793468 , 42.831318)
Size: 16 | Area: 394064.6 | Centroid: (0.2636942 , 8.316091)
Size: 13 | Area: 193495.28 | Centroid: (8.814499 , 37.269257)
Size: 8 | Area: 76800.125 | Centroid: (15.178872 , 48.887547)
Size: 6 | Area: 67743.33 | Centroid: (22.449286 , 13.708867)
Size: 6 | Area: 58768.195 | Centroid: (27.598299 , 25.795784)
Size: 5 | Area: 46947.78 | Centroid: (11.451969 , 16.847712)
Size: 5 | Area: 40754.3 | Centroid: (2.3583722 , 35.802525)
Size: 6 | Area: 35723.875 | Centroid: (40.747547 , 39.003204)
Size: 4 | Area: 24266.508 | Centroid: (26.241608 , 35.63538)
Size: 2 | Area: 9839.364 | Centroid: (20.356007 , 46.0)
Size: 1 | Area: 9114.005 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8586.934 | Centroid: (30.40949 , 29.0)
Size: 2 | Area: 7207.3843 | Centroid: (42.000004 , 9.4012985)
Size: 2 | Area: 7115.4805 | Centroid: (47.51972 , 43.0)
Size: 1 | Area: 4091.3486 | Centroid: (41.0 , 19.999998)
Size: 1 | Area: 3005.5742 | Centroid: (29.000002 , 13.0)
Size: 1 | Area: 2779.6882 | Centroid: (10.0 , 27.000002)
