Index: 767 | Bright Bodies: 19

Size: 31 | Area: 2300336.8 | Centroid: (40.036526 , 31.517065)
Size: 27 | Area: 1585315.2 | Centroid: (14.33715 , 42.36927)
Size: 15 | Area: 710463.75 | Centroid: (0.30650225 , 7.9913797)
Size: 8 | Area: 208556.11 | Centroid: (15.3065605 , 48.894978)
Size: 14 | Area: 195566.2 | Centroid: (9.308812 , 36.763775)
Size: 8 | Area: 70584.73 | Centroid: (22.989931 , 13.19883)
Size: 5 | Area: 54275.777 | Centroid: (28.164051 , 25.441648)
Size: 6 | Area: 48193.734 | Centroid: (12.044733 , 16.431448)
Size: 5 | Area: 38121.273 | Centroid: (2.788086 , 35.34374)
Size: 6 | Area: 37311.684 | Centroid: (41.085587 , 38.470013)
Size: 4 | Area: 23606.922 | Centroid: (26.472258 , 35.302536)
Size: 4 | Area: 16193.81 | Centroid: (44.457104 , 21.626081)
Size: 2 | Area: 9086.265 | Centroid: (30.999998 , 28.670021)
Size: 2 | Area: 8929.801 | Centroid: (21.0 , 45.46156)
Size: 2 | Area: 7116.582 | Centroid: (48.0 , 42.601624)
Size: 1 | Area: 5766.3867 | Centroid: (6.0 , 48.999996)
Size: 1 | Area: 4594.288 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3190.447 | Centroid: (30.000002 , 12.0)
Size: 1 | Area: 2749.728 | Centroid: (41.0 , 19.0)
