Index: 576 | Bright Bodies: 20

Size: 28 | Area: 2291485.8 | Centroid: (40.507965 , 31.102465)
Size: 29 | Area: 1594032.9 | Centroid: (14.781017 , 42.014435)
Size: 19 | Area: 1011527.75 | Centroid: (0.47324142 , 7.493743)
Size: 9 | Area: 335317.72 | Centroid: (15.669315 , 48.850353)
Size: 12 | Area: 188778.33 | Centroid: (9.819442 , 36.367966)
Size: 5 | Area: 63692.105 | Centroid: (23.388346 , 12.806149)
Size: 6 | Area: 56897.39 | Centroid: (28.494894 , 24.960823)
Size: 6 | Area: 48748.36 | Centroid: (12.431176 , 15.968063)
Size: 5 | Area: 39666.21 | Centroid: (3.3579862 , 34.857895)
Size: 4 | Area: 29541.227 | Centroid: (41.582104 , 38.15343)
Size: 2 | Area: 17794.527 | Centroid: (26.999998 , 34.733788)
Size: 2 | Area: 15337.2705 | Centroid: (6.372302 , 49.0)
Size: 3 | Area: 14816.996 | Centroid: (43.00189 , 49.0)
Size: 2 | Area: 11552.814 | Centroid: (45.0 , 21.290613)
Size: 2 | Area: 9751.754 | Centroid: (0.0 , 14.41417)
Size: 2 | Area: 9438.53 | Centroid: (21.36696 , 45.0)
Size: 2 | Area: 7827.816 | Centroid: (31.436884 , 28.0)
Size: 2 | Area: 6923.1597 | Centroid: (42.999996 , 8.494259)
Size: 2 | Area: 6418.8105 | Centroid: (48.53652 , 42.0)
Size: 1 | Area: 4098.7456 | Centroid: (42.0 , 19.0)
