Index: 1538 | Bright Bodies: 20

Size: 28 | Area: 2280091.5 | Centroid: (39.471474 , 31.898403)
Size: 28 | Area: 1595863.4 | Centroid: (13.731075 , 42.90368)
Size: 15 | Area: 363750.25 | Centroid: (0.24809124 , 8.40107)
Size: 14 | Area: 196567.44 | Centroid: (8.75553 , 37.313374)
Size: 6 | Area: 67381.234 | Centroid: (22.420757 , 13.75139)
Size: 7 | Area: 66204.88 | Centroid: (15.091353 , 48.918407)
Size: 7 | Area: 61472.715 | Centroid: (27.527332 , 25.885971)
Size: 6 | Area: 49499.28 | Centroid: (11.397616 , 16.939976)
Size: 5 | Area: 40544.08 | Centroid: (2.337552 , 35.83827)
Size: 6 | Area: 35847.285 | Centroid: (40.70273 , 39.031986)
Size: 3 | Area: 20868.914 | Centroid: (26.129065 , 35.755474)
Size: 2 | Area: 11680.112 | Centroid: (44.0 , 22.26155)
Size: 2 | Area: 9916.98 | Centroid: (20.328337 , 46.000004)
Size: 2 | Area: 8448.334 | Centroid: (30.371147 , 29.0)
Size: 2 | Area: 7431.427 | Centroid: (42.0 , 9.449795)
Size: 2 | Area: 6988.928 | Centroid: (47.462524 , 43.0)
Size: 1 | Area: 4150.1763 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3321.7312 | Centroid: (29.0 , 12.999999)
Size: 1 | Area: 2813.852 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2659.891 | Centroid: (13.000001 , 1.0)
