Index: 277 | Bright Bodies: 21

Size: 31 | Area: 2296305.5 | Centroid: (40.286022 , 31.318945)
Size: 28 | Area: 1589894.9 | Centroid: (14.548978 , 42.215435)
Size: 18 | Area: 890372.44 | Centroid: (0.38458088 , 7.8379087)
Size: 8 | Area: 250703.88 | Centroid: (15.389805 , 48.880783)
Size: 15 | Area: 194061.23 | Centroid: (9.554217 , 36.57684)
Size: 7 | Area: 66372.78 | Centroid: (23.21587 , 13.010396)
Size: 6 | Area: 56429.223 | Centroid: (28.351984 , 25.128496)
Size: 5 | Area: 45138.047 | Centroid: (12.275422 , 16.197445)
Size: 6 | Area: 39236.49 | Centroid: (3.128101 , 35.13548)
Size: 5 | Area: 33082.453 | Centroid: (41.407696 , 38.34003)
Size: 3 | Area: 19050.396 | Centroid: (26.73721 , 34.853245)
Size: 2 | Area: 11917.971 | Centroid: (6.2926645 , 49.0)
Size: 2 | Area: 9760.544 | Centroid: (45.000004 , 21.411037)
Size: 2 | Area: 8189.785 | Centroid: (31.0 , 28.5002)
Size: 2 | Area: 6889.0474 | Centroid: (0.0 , 14.488805)
Size: 1 | Area: 5696.2017 | Centroid: (21.0 , 45.0)
Size: 1 | Area: 4253.129 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 4171.428 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 3333.2969 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 3176.0457 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3163.524 | Centroid: (48.000004 , 42.0)
