Index: 361 | Bright Bodies: 22

Size: 30 | Area: 2295556.5 | Centroid: (40.2211 , 31.35742)
Size: 27 | Area: 1588142.5 | Centroid: (14.487468 , 42.252308)
Size: 19 | Area: 851311.5 | Centroid: (0.36531743 , 7.909449)
Size: 8 | Area: 241694.33 | Centroid: (15.331604 , 48.886196)
Size: 15 | Area: 194478.5 | Centroid: (9.492477 , 36.61774)
Size: 7 | Area: 66207.336 | Centroid: (23.175272 , 13.046569)
Size: 5 | Area: 53635.86 | Centroid: (28.285944 , 25.22659)
Size: 5 | Area: 44915.484 | Centroid: (12.251678 , 16.233152)
Size: 6 | Area: 38968.805 | Centroid: (3.0917687 , 35.162643)
Size: 5 | Area: 33420.016 | Centroid: (41.372944 , 38.37274)
Size: 2 | Area: 16555.926 | Centroid: (26.643454 , 35.0)
Size: 3 | Area: 12544.304 | Centroid: (44.7362 , 21.587053)
Size: 2 | Area: 11163.313 | Centroid: (6.27202 , 49.0)
Size: 2 | Area: 8533.16 | Centroid: (21.0 , 45.343567)
Size: 2 | Area: 8377.469 | Centroid: (31.0 , 28.529373)
Size: 2 | Area: 6194.138 | Centroid: (0.0 , 14.504784)
Size: 2 | Area: 6129.0723 | Centroid: (48.0 , 42.474796)
Size: 1 | Area: 4366.985 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3729.6692 | Centroid: (42.0 , 49.0)
Size: 1 | Area: 3233.6921 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3185.946 | Centroid: (42.0 , 19.0)
Size: 1 | Area: 2759.9233 | Centroid: (14.0 , 0.0)
