Index: 1534 | Bright Bodies: 21

Size: 31 | Area: 2300295.0 | Centroid: (39.6896 , 31.783232)
Size: 28 | Area: 1596127.5 | Centroid: (14.008559 , 42.679855)
Size: 15 | Area: 484034.5 | Centroid: (0.28258693 , 8.176728)
Size: 12 | Area: 191763.78 | Centroid: (9.013969 , 37.12758)
Size: 8 | Area: 100535.08 | Centroid: (15.304674 , 48.866665)
Size: 5 | Area: 64330.89 | Centroid: (22.546782 , 13.5505295)
Size: 6 | Area: 58134.594 | Centroid: (27.811504 , 25.658772)
Size: 5 | Area: 46657.36 | Centroid: (11.659109 , 16.646906)
Size: 4 | Area: 38303.47 | Centroid: (2.4121926 , 35.64238)
Size: 4 | Area: 30124.57 | Centroid: (41.240074 , 38.762585)
Size: 4 | Area: 25202.27 | Centroid: (26.297544 , 35.54756)
Size: 2 | Area: 12016.172 | Centroid: (44.23221 , 22.0)
Size: 2 | Area: 9316.959 | Centroid: (20.478542 , 45.999996)
Size: 2 | Area: 9054.0625 | Centroid: (30.566734 , 29.0)
Size: 2 | Area: 6221.573 | Centroid: (38.999996 , 38.51179)
Size: 1 | Area: 4899.64 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4270.043 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3434.3027 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 2902.9568 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2784.9128 | Centroid: (30.0 , 13.0)
Size: 1 | Area: 2768.0127 | Centroid: (18.0 , 19.0)
