Index: 1452 | Bright Bodies: 20

Size: 30 | Area: 2286744.8 | Centroid: (39.39512 , 31.962269)
Size: 28 | Area: 1602249.9 | Centroid: (13.6414 , 42.993275)
Size: 15 | Area: 324785.0 | Centroid: (0.24538815 , 8.466225)
Size: 14 | Area: 196773.42 | Centroid: (8.691554 , 37.361427)
Size: 6 | Area: 66787.83 | Centroid: (22.309813 , 13.873023)
Size: 7 | Area: 61870.63 | Centroid: (27.466526 , 25.93565)
Size: 5 | Area: 53248.957 | Centroid: (15.053703 , 49.000004)
Size: 6 | Area: 49864.734 | Centroid: (11.355285 , 16.984892)
Size: 6 | Area: 42292.51 | Centroid: (2.292641 , 35.939392)
Size: 5 | Area: 33591.96 | Centroid: (40.459957 , 39.229332)
Size: 3 | Area: 20797.906 | Centroid: (25.832829 , 35.794846)
Size: 2 | Area: 11304.5625 | Centroid: (44.0 , 22.31124)
Size: 2 | Area: 9858.082 | Centroid: (20.298853 , 46.0)
Size: 2 | Area: 8209.41 | Centroid: (29.999998 , 29.352856)
Size: 2 | Area: 7631.456 | Centroid: (41.999996 , 9.5066595)
Size: 2 | Area: 6785.566 | Centroid: (47.395966 , 43.0)
Size: 1 | Area: 4071.8105 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3646.563 | Centroid: (29.0 , 13.0)
Size: 1 | Area: 2870.3906 | Centroid: (13.0 , 1.0)
Size: 1 | Area: 2799.303 | Centroid: (10.0 , 27.0)
