Index: 1410 | Bright Bodies: 20

Size: 32 | Area: 2305875.2 | Centroid: (39.805363 , 31.736881)
Size: 26 | Area: 1588532.9 | Centroid: (14.133992 , 42.575546)
Size: 15 | Area: 553321.3 | Centroid: (0.2918073 , 8.113336)
Size: 13 | Area: 194141.48 | Centroid: (9.0858755 , 36.955803)
Size: 8 | Area: 142031.81 | Centroid: (15.286927 , 48.88671)
Size: 6 | Area: 66412.9 | Centroid: (22.70628 , 13.484402)
Size: 6 | Area: 58498.273 | Centroid: (27.929272 , 25.588669)
Size: 6 | Area: 49186.906 | Centroid: (11.838665 , 16.595856)
Size: 4 | Area: 37810.336 | Centroid: (2.4953306 , 35.560127)
Size: 4 | Area: 31219.023 | Centroid: (41.2793 , 38.712585)
Size: 4 | Area: 25282.727 | Centroid: (26.341663 , 35.46269)
Size: 2 | Area: 12011.396 | Centroid: (44.282825 , 22.0)
Size: 3 | Area: 11520.548 | Centroid: (20.684017 , 45.738342)
Size: 2 | Area: 8879.139 | Centroid: (30.672007 , 29.0)
Size: 2 | Area: 7204.3057 | Centroid: (42.453995 , 9.0)
Size: 1 | Area: 5224.9365 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3331.3813 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3150.0283 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 2855.6094 | Centroid: (15.0 , 25.0)
Size: 1 | Area: 2787.8047 | Centroid: (41.0 , 20.0)
