Index: 1704 | Bright Bodies: 19

Size: 28 | Area: 2283870.8 | Centroid: (39.53461 , 31.837465)
Size: 28 | Area: 1599134.6 | Centroid: (13.8068075 , 42.830284)
Size: 16 | Area: 400880.9 | Centroid: (0.26624885 , 8.306084)
Size: 12 | Area: 191495.38 | Centroid: (8.831921 , 37.287827)
Size: 7 | Area: 75366.05 | Centroid: (15.275674 , 48.882393)
Size: 6 | Area: 67478.28 | Centroid: (22.458427 , 13.709991)
Size: 6 | Area: 59019.32 | Centroid: (27.609617 , 25.796041)
Size: 6 | Area: 49705.93 | Centroid: (11.544928 , 16.80251)
Size: 5 | Area: 40840.465 | Centroid: (2.3640897 , 35.804657)
Size: 6 | Area: 35990.906 | Centroid: (40.75258 , 39.003693)
Size: 4 | Area: 24613.041 | Centroid: (26.246088 , 35.63787)
Size: 2 | Area: 9915.407 | Centroid: (20.363693 , 46.0)
Size: 1 | Area: 9085.071 | Centroid: (44.0 , 22.0)
Size: 2 | Area: 8749.232 | Centroid: (30.418257 , 29.000004)
Size: 2 | Area: 7237.6255 | Centroid: (42.0 , 9.405045)
Size: 2 | Area: 7171.4053 | Centroid: (47.52988 , 43.0)
Size: 1 | Area: 4147.0757 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3001.5789 | Centroid: (29.0 , 12.999999)
Size: 1 | Area: 2789.4714 | Centroid: (10.0 , 27.0)
