Index: 2176 | Bright Bodies: 20

Size: 30 | Area: 2305474.5 | Centroid: (39.70435 , 31.81641)
Size: 28 | Area: 1601704.0 | Centroid: (14.02925 , 42.71518)
Size: 15 | Area: 496846.5 | Centroid: (0.2890286 , 8.204724)
Size: 11 | Area: 191360.73 | Centroid: (9.001359 , 37.19007)
Size: 7 | Area: 93525.75 | Centroid: (15.357359 , 48.885574)
Size: 5 | Area: 65356.48 | Centroid: (22.56621 , 13.576327)
Size: 7 | Area: 62168.105 | Centroid: (27.84185 , 25.743263)
Size: 5 | Area: 47227.79 | Centroid: (11.67741 , 16.662323)
Size: 4 | Area: 38760.414 | Centroid: (2.4228172 , 35.667477)
Size: 4 | Area: 30649.129 | Centroid: (41.250248 , 38.76865)
Size: 4 | Area: 26025.05 | Centroid: (26.309692 , 35.577694)
Size: 2 | Area: 12363.026 | Centroid: (44.246807 , 22.000002)
Size: 2 | Area: 9853.848 | Centroid: (20.492352 , 46.000004)
Size: 2 | Area: 9238.582 | Centroid: (30.579523 , 29.000004)
Size: 2 | Area: 6572.1494 | Centroid: (39.0 , 38.54169)
Size: 1 | Area: 5174.7725 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 4251.2344 | Centroid: (42.0 , 9.0)
Size: 1 | Area: 3820.3066 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3186.0989 | Centroid: (15.0 , 24.999998)
Size: 1 | Area: 3145.379 | Centroid: (30.0 , 13.0)
