Index: 1368 | Bright Bodies: 20

Size: 29 | Area: 2282581.2 | Centroid: (39.438915 , 31.92262)
Size: 28 | Area: 1598553.5 | Centroid: (13.690209 , 42.945595)
Size: 15 | Area: 346631.28 | Centroid: (0.24675 , 8.432889)
Size: 14 | Area: 196377.48 | Centroid: (8.727995 , 37.332176)
Size: 5 | Area: 64430.348 | Centroid: (22.342289 , 13.797367)
Size: 7 | Area: 61665.14 | Centroid: (27.500813 , 25.905403)
Size: 6 | Area: 59963.797 | Centroid: (15.025337 , 48.95488)
Size: 6 | Area: 49568.926 | Centroid: (11.379381 , 16.957235)
Size: 5 | Area: 40137.184 | Centroid: (2.326038 , 35.851135)
Size: 5 | Area: 33110.312 | Centroid: (40.572704 , 39.04751)
Size: 3 | Area: 20701.076 | Centroid: (25.863783 , 35.76957)
Size: 2 | Area: 11457.991 | Centroid: (44.0 , 22.279871)
Size: 2 | Area: 9871.666 | Centroid: (20.314423 , 46.000004)
Size: 2 | Area: 8263.336 | Centroid: (30.351507 , 29.0)
Size: 2 | Area: 7482.6294 | Centroid: (42.0 , 9.470599)
Size: 2 | Area: 6891.8936 | Centroid: (47.434143 , 43.000004)
Size: 1 | Area: 4119.405 | Centroid: (41.0 , 20.0)
Size: 1 | Area: 3447.5032 | Centroid: (29.0 , 13.000001)
Size: 1 | Area: 2801.222 | Centroid: (10.0 , 27.0)
Size: 1 | Area: 2698.4783 | Centroid: (13.0 , 1.0)
