Index: 2236 | Bright Bodies: 21

Size: 33 | Area: 2315625.2 | Centroid: (39.98906 , 31.675703)
Size: 26 | Area: 1592780.6 | Centroid: (14.299512 , 42.54524)
Size: 15 | Area: 674281.75 | Centroid: (0.31053266 , 8.096444)
Size: 13 | Area: 197630.72 | Centroid: (9.277916 , 36.941578)
Size: 7 | Area: 163767.25 | Centroid: (15.391957 , 48.90885)
Size: 7 | Area: 70631.086 | Centroid: (22.93595 , 13.400489)
Size: 5 | Area: 56809.17 | Centroid: (28.127731 , 25.601843)
Size: 6 | Area: 50485.797 | Centroid: (12.002438 , 16.581646)
Size: 5 | Area: 40893.445 | Centroid: (2.7463024 , 35.499405)
Size: 4 | Area: 32403.482 | Centroid: (41.354137 , 38.7006)
Size: 4 | Area: 25776.928 | Centroid: (26.432978 , 35.448463)
Size: 2 | Area: 12388.728 | Centroid: (44.383545 , 22.0)
Size: 2 | Area: 9466.447 | Centroid: (20.999998 , 45.630947)
Size: 2 | Area: 7641.8076 | Centroid: (42.60284 , 9.0)
Size: 1 | Area: 7128.0747 | Centroid: (31.0 , 29.0)
Size: 1 | Area: 5695.2134 | Centroid: (48.0 , 43.0)
Size: 1 | Area: 3634.4194 | Centroid: (5.9999995 , 49.0)
Size: 1 | Area: 3165.906 | Centroid: (39.0 , 38.0)
Size: 1 | Area: 3162.154 | Centroid: (30.000002 , 13.0)
Size: 1 | Area: 3077.063 | Centroid: (15.0 , 25.000002)
Size: 1 | Area: 3072.843 | Centroid: (0.0 , 14.0)
