Index: 828 | Bright Bodies: 21

Size: 31 | Area: 2299170.0 | Centroid: (40.14421 , 31.422192)
Size: 27 | Area: 1587181.6 | Centroid: (14.419497 , 42.309578)
Size: 16 | Area: 790257.7 | Centroid: (0.33203316 , 7.9599338)
Size: 8 | Area: 223439.53 | Centroid: (15.371401 , 48.890503)
Size: 14 | Area: 195853.56 | Centroid: (9.4157295 , 36.710438)
Size: 8 | Area: 70615.54 | Centroid: (23.080921 , 13.148949)
Size: 5 | Area: 55343.97 | Centroid: (28.29859 , 25.301731)
Size: 4 | Area: 43181.08 | Centroid: (12.234792 , 16.379627)
Size: 6 | Area: 40390.49 | Centroid: (2.966943 , 35.350685)
Size: 5 | Area: 34534.363 | Centroid: (41.31463 , 38.466034)
Size: 3 | Area: 20211.066 | Centroid: (26.626968 , 35.170937)
Size: 4 | Area: 16054.066 | Centroid: (44.533268 , 21.588968)
Size: 2 | Area: 9164.866 | Centroid: (21.0 , 45.421124)
Size: 2 | Area: 9021.696 | Centroid: (31.000002 , 28.6297)
Size: 2 | Area: 6914.6113 | Centroid: (48.0 , 42.553726)
Size: 1 | Area: 6741.186 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 4974.232 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3360.0667 | Centroid: (30.0 , 12.0)
Size: 1 | Area: 3085.4949 | Centroid: (0.0 , 14.0)
Size: 1 | Area: 2868.879 | Centroid: (44.0 , 49.0)
Size: 1 | Area: 2866.0408 | Centroid: (14.0 , 0.0)
